"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition","collected_by"
"airfreshener1_tr.png",2,2,"0.008864654","0.253850467",4.5179,"Sub059_ToD",165,-0.013293605,0.253657095,"Bckg42.jpg",2,91,49,2,1,1,45,2,156,345,88,2,"airfreshener1_tr.png",1,357,357,1.9709,1,2.0844,1,0.3838,1,"YA","Night","Julia"
"bagel1_tr.png",245,245,"-0.230206891","-0.107347236",1.7334,"Sub059_ToD",165,-0.238686812,-0.086874895,"Bckg43.jpg",246,20,117,3,1,1,114,246,243,284,250,246,"bagel1_tr.png",1,250,250,2.0845,1,1.6239,1,0.5011,1,"YA","Night","Julia"
"banana1_tr.png",401,41,"0.166642405","0.191700158",4.9996,"Sub059_ToD",165,0.24646016,0.061449419,"Bckg93.jpg",44,114,58,2,1,1,56,44,233,78,338,44,"banana1_tr.png",1,76,76,2.1491,1,1.1079,2,1.6583,1,"YA","Night","Julia"
"bandaid1_tr.png",233,233,"-0.202857572","-0.152864145",7.6002,"Sub059_ToD",165,-0.240166635,-0.082696004,"Bckg45.jpg",246,107,112,3,1,1,97,246,143,243,11,246,"bandaid1_tr.png",1,251,251,5.6906,1,1.0325,1,0.4677,1,"YA","Night","Julia"
"basket1_tr.png",104,104,"0.24646016","-0.061449419",5.535,"Sub059_ToD",165,0.248454577,-0.052810651,"Bckg24.jpg",110,8,35,1,1,1,9,110,14,332,96,110,"basket1_tr.png",1,462,102,5.3937,1,1.9089,1,1.3168,1,"YA","Night","Julia"
"bbqmachine1_tr.png",525,165,"0.065741383","-0.245350183",4.6875,"Sub059_ToD",165,-0.04410754,-0.25014629,"Bckg48.jpg",172,40,54,2,1,1,66,172,331,332,338,172,"bbqmachine1_tr.png",1,190,190,6.0804,1,1.3816,1,1.2509,1,"YA","Night","Julia"
"bell1_tr.png",341,341,"-0.082696004","0.240166635",6.9632,"Sub059_ToD",165,-0.232045297,0.103313222,"Bckg36.jpg",349,78,99,3,1,1,99,349,287,282,294,349,"bell1_tr.png",1,294,294,3.0956,1,2.6983,1,2.6174,1,"YA","Night","Julia"
"binder1_tr.png",104,104,"0.24646016","-0.061449419",4.5407,"Sub059_ToD",165,0.253850467,0.008864654,"Bckg82.jpg",91,21,61,2,1,1,61,91,236,320,312,91,"binder1_tr.png",1,448,88,6.1816,1,1.4383,1,1.0511,1,"YA","Night","Julia"
"bird1_tr.png",42,42,"0.169962653","0.18876265",5.5769,"Sub059_ToD",165,0.091027323,0.237134283,"Bckg2.jpg",39,72,23,1,1,1,15,39,118,137,33,39,"bird1_tr.png",1,21,21,3.9765,1,1.9471,1,1.6173,1,"YA","Night","Julia"
"bottleofwine1_tr.png",127,127,"0.202857572","-0.152864145",3.8666,"Sub059_ToD",165,0.252111884,-0.030955447,"Bckg29.jpg",126,71,2,1,1,1,29,126,55,131,270,126,"bottleofwine1_tr.png",1,97,97,6.6844,1,3.1656,2,1.177,1,"YA","Night","Julia"
