"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition"
"apple1_tr.png",469,109,0.221947097,-0.076422514,5.8176,"Sub104_ToD",254,"0.168854832","-0.163061216","Bckg81.jpg",114,62,103,3,1,1,83,114,347,32,264,114,"apple1_tr.png",1,134,134,5.7366,1,1.7081,1,0.9306,1,"OA","Night"
"asparagus1_tr.png",260,260,-0.231169675,-0.040761451,8.2887,"Sub104_ToD",254,"-0.160089458","-0.171674925","Bckg134.jpg",263,47,77,2,1,1,44,263,290,137,190,263,"asparagus1_tr.png",1,223,223,6.7177,1,3.5038,1,0.8999,1,"OA","Night"
"banana1_tr.png",413,53,0.187468377,0.141267555,7.8513,"Sub104_ToD",254,"0.174442725","0.157068935","Bckg93.jpg",44,114,32,1,1,1,13,44,233,78,338,44,"banana1_tr.png",1,48,48,11.1184,1,3.2913,2,3.5346,1,"OA","Night"
"bathingsuit1_tr.png",283,283,-0.228719576,0.052804075,5.639,"Sub104_ToD",254,"-0.22673741","0.060754106","Bckg19.jpg",288,65,87,3,1,1,100,288,311,51,176,288,"bathingsuit1_tr.png",1,-75,285,4.7157,1,2.2206,1,0.8789,1,"OA","Night"
"bed1_tr.png",224,224,-0.163061216,-0.168854832,6.9847,"Sub104_ToD",254,"-0.147724051","-0.18242401","Bckg77.jpg",245,120,7,1,1,1,27,245,138,143,160,245,"bed1_tr.png",1,219,219,10.3696,1,3.655,1,2.1018,1,"OA","Night"
"bottleofwine1_tr.png",127,127,0.187468377,-0.141267555,6.0453,"Sub104_ToD",254,"0.127846301","-0.19686604","Bckg29.jpg",126,71,47,2,1,1,48,126,55,131,270,126,"bottleofwine1_tr.png",1,147,147,12.4222,1,3.1251,2,1.0021,1,"OA","Night"
"bowlingpin1_tr.png",299,299,-0.205304592,0.113802193,9.5495,"Sub104_ToD",254,"-0.154000567","-0.177157387","Bckg34.jpg",301,48,4,1,1,1,9,301,219,51,324,301,"bowlingpin1_tr.png",1,-139,221,12.2023,1,5.0011,2,4.1114,1,"OA","Night"
"boxinggloves1_tr.png",275,275,-0.233842599,0.020458576,10.5966,"Sub104_ToD",254,"-0.233842599","0.020458576","Bckg131.jpg",276,95,42,2,1,1,74,276,159,125,149,276,"boxinggloves1_tr.png",1,275,275,6.2765,1,2.5014,1,0.9678,1,"OA","Night"
"cabinet1_tr.png",353,353,-0.028607103,0.232986155,7.3765,"Sub104_ToD",254,"-0.032668915","0.232451407","Bckg13.jpg",355,110,99,3,1,1,97,355,291,250,164,355,"cabinet1_tr.png",1,352,352,13.2367,1,1.4858,1,0.8792,1,"OA","Night"
"cakemixer1_tr.png",254,254,-0.225642572,-0.064701966,5.1361,"Sub104_ToD",254,"-0.234164035","-0.016374344","Bckg12.jpg",255,117,86,3,1,1,114,255,108,314,330,255,"cakemixer1_tr.png",1,266,266,9.3763,1,5.6171,1,2.1355,1,"OA","Night"
"christmasstocking1_tr.png",152,152,0.110201802,-0.207259445,6.9515,"Sub104_ToD",254,"0.040761451","-0.231169675","Bckg136.jpg",165,50,28,1,1,1,19,165,322,246,121,165,"christmasstocking1_tr.png",1,170,170,13.8514,1,3.9696,2,1.7179,1,"OA","Night"
