"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition"
"abacus1_tr.png",279,279,-0.221464695,0.035076562,7.3904,"Sub040_ToD",267,"[]","[]","Bckg135.jpg",299,41,34,1,1,1,37,299,113,108,23,299,"abacus1_tr.png",1,108,108,4.719,1,2.6848,2,1.7272,1,"OA","Night"
"bandaid1_tr.png",251,251,-0.212009167,-0.073000611,4.0682,"Sub040_ToD",267,"[]","[]","Bckg45.jpg",246,107,84,3,1,1,117,246,143,243,11,246,"bandaid1_tr.png",1,243,243,4.1204,1,2.8717,2,1.811,1,"OA","Night"
"basket1_tr.png",108,108,0.213250914,-0.069289422,3.7561,"Sub040_ToD",267,"[]","[]","Bckg24.jpg",110,8,78,2,1,1,47,110,14,332,96,110,"basket1_tr.png",1,332,332,3.2945,1,2.7074,2,1.6262,1,"OA","Night"
"bell1_tr.png",353,353,-0.027326188,0.222553939,6.6229,"Sub040_ToD",267,"[]","[]","Bckg36.jpg",349,78,27,1,1,1,1,349,287,282,294,349,"bell1_tr.png",1,282,282,10.8536,1,1.7295,2,2.7113,1,"OA","Night"
"bow1_tr.png",525,165,0.058033773,-0.216584989,6.4234,"Sub040_ToD",267,"0.0427842","-0.22010563","Bckg54.jpg",172,67,36,1,1,1,16,172,311,5,258,172,"bow1_tr.png",1,169,169,8.6364,1,4.3449,1,1.6255,1,"OA","Night"
"bowlingpin1_tr.png",303,303,-0.188051143,0.12212184,5.1038,"Sub040_ToD",267,"[]","[]","Bckg34.jpg",301,48,11,1,1,1,30,301,219,51,324,301,"bowlingpin1_tr.png",1,51,51,4.8061,1,4.3448,2,1.93,1,"OA","Night"
"boxinggloves1_tr.png",273,273,-0.223917987,0.011735044,7.3036,"Sub040_ToD",267,"-0.216584989","0.058033773","Bckg131.jpg",276,95,23,1,1,1,5,276,159,125,149,276,"boxinggloves1_tr.png",1,285,285,16.2475,1,3.0596,1,1.2518,1,"OA","Night"
"breakfast1_tr.png",304,304,-0.185891182,0.125385185,2.9442,"Sub040_ToD",267,"-0.214427702","0.065557127","Bckg89.jpg",300,3,89,3,1,1,114,300,348,149,173,300,"breakfast1_tr.png",1,-73,287,7.5138,1,2.4428,1,0.9421,1,"OA","Night"
"christmasstocking1_tr.png",154,154,0.098293893,-0.201532347,6.2663,"Sub040_ToD",267,"0.046619057","0.21932542","Bckg136.jpg",165,50,112,3,1,1,103,165,322,246,121,165,"christmasstocking1_tr.png",1,372,12,6.6153,1,2.9856,1,0.9544,1,"OA","Night"
"clock1_tr.png",122,122,0.190153822,-0.118821295,4.9203,"Sub040_ToD",267,"[]","[]","Bckg137.jpg",133,76,6,1,1,1,40,133,128,1,280,133,"clock1_tr.png",1,1,1,10.8391,1,4.5226,2,2.1738,1,"OA","Night"
