"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition"
"bagel1_tr.png",235,235,"-0.151029307","-0.105751859",9.5393,"Sub028_ToD",123,"[]","[]","Bckg43.jpg",246,20,2,1,1,1,34,246,243,284,250,246,"bagel1_tr.png",1,284,284,4.3602,1,2.0426,2,2.3556,1,"OA","Night"
"banana1_tr.png",401,41,"0.120959401","0.139147873",6.4016,"Sub028_ToD",123,"0.183923617","-0.012861192","Bckg93.jpg",44,114,118,3,1,1,119,44,233,78,338,44,"banana1_tr.png",1,94,94,10.8149,1,1.8413,2,2.009,1,"OA","Night"
"binder1_tr.png",446,86,"0.183923617","0.012861192",8.633,"Sub028_ToD",123,"0.173253703","0.063059191","Bckg82.jpg",91,21,52,2,1,1,46,91,236,320,312,91,"binder1_tr.png",1,430,70,8.6314,1,1.84,1,1.1516,1,"OA","Night"
"bottleofwine1_tr.png",129,129,"0.14328453","-0.116029525",5.7731,"Sub028_ToD",123,"[]","[]","Bckg29.jpg",126,71,115,3,1,1,110,126,55,131,270,126,"bottleofwine1_tr.png",1,131,131,1.8424,1,1.5879,1,1.0727,1,"OA","Night"
"bowlingpin1_tr.png",291,291,"-0.172126781","0.066073281",4.9738,"Sub028_ToD",123,"[]","[]","Bckg34.jpg",301,48,110,3,1,1,118,301,219,51,324,301,"bowlingpin1_tr.png",1,51,51,2.0261,1,2.0612,2,1.2554,1,"OA","Night"
"bowls1_tr.png",456,96,"0.183362727","-0.019272199",9.5513,"Sub028_ToD",123,"-0.089385678","-0.161256032","Bckg103.jpg",76,79,33,1,1,1,39,76,238,207,139,76,"bowls1_tr.png",1,209,209,11.8903,1,1.8536,2,4.3406,1,"OA","Night"
"boxinggloves1_tr.png",239,239,"-0.158038284","-0.094958981",7.5167,"Sub028_ToD",123,"-0.154627991","-0.100416591","Bckg131.jpg",276,95,11,1,1,1,9,276,159,125,149,276,"boxinggloves1_tr.png",1,237,237,11.1346,1,2.7958,2,2.6027,1,"OA","Night"
"breakfast1_tr.png",282,282,"-0.180343753","0.038333248",16.0519,"Sub028_ToD",123,"-0.184120064","0.009649324","Bckg89.jpg",300,3,98,3,1,1,107,300,348,149,173,300,"breakfast1_tr.png",1,273,273,7.5559,1,4.0539,1,1.1165,1,"OA","Night"
"cakemixer1_tr.png",-108,252,"-0.175348896","-0.05697431",11.4119,"Sub028_ToD",123,"0.145287702","-0.113511193","Bckg12.jpg",255,117,9,1,1,1,38,255,108,314,330,255,"cakemixer1_tr.png",1,488,128,9.5814,1,2.2816,2,2.7375,1,"OA","Night"
"christmasstocking1_tr.png",508,148,"0.097702667","-0.156356951",8.7824,"Sub028_ToD",123,"0.113511193","-0.145287702","Bckg136.jpg",165,50,116,3,1,1,109,165,322,246,121,165,"christmasstocking1_tr.png",1,502,142,10.1566,1,2.5349,1,0.8787,1,"OA","Night"
