"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition","collected_by"
"abacus1_tr.png",113,113,"[]","[]",0.3053,"Sub148_ToD",270,"[]","[]","Bckg135.jpg",299,41,111,3,1,1,95,299,113,108,23,299,"abacus1_tr.png",1,108,108,0.2147,1,0.8077,2,0.7038,1,"YA","Night","Maheria"
"apple1_tr.png",347,347,"[]","[]",0.3265,"Sub148_ToD",270,"[]","[]","Bckg81.jpg",114,62,109,3,1,1,117,114,347,32,264,114,"apple1_tr.png",1,32,32,0.2109,1,0.6441,2,0.437,1,"YA","Night","Maheria"
"asparagus1_tr.png",290,290,"[]","[]",0.3815,"Sub148_ToD",270,"[]","[]","Bckg134.jpg",263,47,29,1,1,1,24,263,290,137,190,263,"asparagus1_tr.png",1,137,137,0.8352,1,0.8458,2,0.6183,1,"YA","Night","Maheria"
"banana1_tr.png",233,233,"[]","[]",0.2853,"Sub148_ToD",270,"[]","[]","Bckg93.jpg",44,114,116,3,1,1,98,44,233,78,338,44,"banana1_tr.png",1,78,78,0.2688,1,0.8012,2,0.6185,1,"YA","Night","Maheria"
"basket1_tr.png",14,14,"[]","[]",2.7463,"Sub148_ToD",270,"[]","[]","Bckg24.jpg",110,8,81,3,1,1,113,110,14,332,96,110,"basket1_tr.png",1,332,332,0.195,1,0.6098,2,0.2866,1,"YA","Night","Maheria"
"bathingsuit1_tr.png",311,311,"[]","[]",0.8162,"Sub148_ToD",270,"[]","[]","Bckg19.jpg",288,65,79,2,1,1,70,288,311,51,176,288,"bathingsuit1_tr.png",1,51,51,0.3481,1,0.9954,2,0.3183,1,"YA","Night","Maheria"
"bell1_tr.png",287,287,"[]","[]",0.5952,"Sub148_ToD",270,"[]","[]","Bckg36.jpg",349,78,42,2,1,1,52,349,287,282,294,349,"bell1_tr.png",1,282,282,0.3481,1,1.0379,2,0.4019,1,"YA","Night","Maheria"
"binder1_tr.png",236,236,"[]","[]",0.351,"Sub148_ToD",270,"[]","[]","Bckg82.jpg",91,21,45,2,1,1,65,91,236,320,312,91,"binder1_tr.png",1,320,320,1.5146,1,1.3416,2,0.5696,1,"YA","Night","Maheria"
"bird1_tr.png",118,118,"[]","[]",0.8238,"Sub148_ToD",270,"[]","[]","Bckg2.jpg",39,72,87,3,1,1,120,39,118,137,33,39,"bird1_tr.png",1,137,137,4.6764,1,1.141,2,2.2927,1,"YA","Night","Maheria"
"bow1_tr.png",311,311,"[]","[]",0.8397,"Sub148_ToD",270,"[]","[]","Bckg54.jpg",172,67,4,1,1,1,11,172,311,5,258,172,"bow1_tr.png",1,5,5,0.9421,1,1.2517,2,1.0349,1,"YA","Night","Maheria"
"bowlingpin1_tr.png",219,219,"[]","[]",0.4818,"Sub148_ToD",270,"[]","[]","Bckg34.jpg",301,48,41,2,1,1,60,301,219,51,324,301,"bowlingpin1_tr.png",1,51,51,0.3309,1,0.9139,2,0.4049,1,"YA","Night","Maheria"
"bowls1_tr.png",238,238,"[]","[]",0.584,"Sub148_ToD",270,"[]","[]","Bckg103.jpg",76,79,16,1,1,1,14,76,238,207,139,76,"bowls1_tr.png",1,207,207,3.5465,1,0.9877,2,3.9308,1,"YA","Night","Maheria"
"boxinggloves1_tr.png",159,159,"[]","[]",0.3678,"Sub148_ToD",270,"[]","[]","Bckg131.jpg",276,95,96,3,1,1,94,276,159,125,149,276,"boxinggloves1_tr.png",1,125,125,0.2319,1,0.9518,2,0.2507,1,"YA","Night","Maheria"
"breakfast1_tr.png",348,348,"[]","[]",0.6848,"Sub148_ToD",270,"[]","[]","Bckg89.jpg",300,3,119,3,1,1,104,300,348,149,173,300,"breakfast1_tr.png",1,149,149,0.4168,1,1.214,2,0.4905,1,"YA","Night","Maheria"
"cabinet1_tr.png",291,291,"[]","[]",2.2851,"Sub148_ToD",270,"[]","[]","Bckg13.jpg",355,110,80,2,1,1,42,355,291,250,164,355,"cabinet1_tr.png",1,250,250,0.8252,1,1.0686,2,0.7846,1,"YA","Night","Maheria"
"clock1_tr.png",128,128,"[]","[]",0.2351,"Sub148_ToD",270,"[]","[]","Bckg137.jpg",133,76,105,3,1,1,97,133,128,1,280,133,"clock1_tr.png",1,1,1,0.3818,1,0.9143,2,0.6858,1,"YA","Night","Maheria"
"coke1_tr.png",31,31,"[]","[]",0.9668,"Sub148_ToD",270,"[]","[]","Bckg78.jpg",322,74,10,1,1,1,5,322,31,323,307,322,"coke1_tr.png",1,323,323,0.685,1,1.035,2,0.4348,1,"YA","Night","Maheria"
"cookie1_tr.png",142,142,"[]","[]",0.5454,"Sub148_ToD",270,"[]","[]","Bckg1.jpg",196,109,34,1,1,1,34,196,142,307,242,196,"cookie1_tr.png",1,307,307,0.4481,1,0.8644,2,0.451,1,"YA","Night","Maheria"
"crayon1_tr.png",220,220,"[]","[]",0.3182,"Sub148_ToD",270,"[]","[]","Bckg87.jpg",267,33,56,2,1,1,76,267,220,22,283,267,"crayon1_tr.png",1,22,22,0.4947,1,1.2859,1,0.373,1,"YA","Night","Maheria"
"goggle1_tr.png",157,157,"[]","[]",0.3647,"Sub148_ToD",270,"[]","[]","Bckg120.jpg",25,96,58,2,1,1,69,25,157,292,131,25,"goggle1_tr.png",1,292,292,0.8348,1,1.2484,2,0.4702,1,"YA","Night","Maheria"
"granola1_tr.png",262,262,"[]","[]",0.3191,"Sub148_ToD",270,"[]","[]","Bckg49.jpg",191,103,68,2,1,1,74,191,262,206,48,191,"granola1_tr.png",1,206,206,0.2521,1,0.6684,2,0.3182,1,"YA","Night","Maheria"
"handbag1_tr.png",275,275,"[]","[]",0.7105,"Sub148_ToD",270,"[]","[]","Bckg97.jpg",66,94,39,1,1,1,32,66,275,244,269,66,"handbag1_tr.png",1,244,244,1.2351,1,1.3181,2,1.2461,1,"YA","Night","Maheria"
"highheel1_tr.png",108,108,"[]","[]",0.3849,"Sub148_ToD",270,"[]","[]","Bckg57.jpg",128,77,84,3,1,1,102,128,108,34,194,128,"highheel1_tr.png",1,34,34,0.2306,1,0.8093,2,0.3206,1,"YA","Night","Maheria"
"hotdog1_tr.png",327,327,"[]","[]",0.3482,"Sub148_ToD",270,"[]","[]","Bckg126.jpg",152,42,37,1,1,1,22,152,327,275,320,152,"hotdog1_tr.png",1,275,275,0.9429,1,0.9457,2,0.4515,1,"YA","Night","Maheria"
"lipstick1_tr.png",284,284,"[]","[]",7.1169,"Sub148_ToD",270,"[]","[]","Bckg22.jpg",106,22,93,3,1,1,81,106,284,129,228,106,"lipstick1_tr.png",1,129,129,0.8121,1,1.8185,2,0.8516,1,"YA","Night","Maheria"
"motorcycle1_tr.png",342,342,"[]","[]",7.9281,"Sub148_ToD",270,"[]","[]","Bckg100.jpg",260,4,11,1,1,1,31,260,342,17,98,260,"motorcycle1_tr.png",1,17,17,0.535,1,2.2945,2,0.7017,1,"YA","Night","Maheria"
"mouthwash1_tr.png",115,115,"[]","[]",1.0267,"Sub148_ToD",270,"[]","[]","Bckg109.jpg",352,100,83,3,1,1,106,352,115,250,226,352,"mouthwash1_tr.png",1,250,250,0.3501,1,0.6406,2,0.2694,1,"YA","Night","Maheria"
"oven1_tr.png",305,305,"[]","[]",0.3664,"Sub148_ToD",270,"[]","[]","Bckg55.jpg",111,9,2,1,1,1,39,111,305,27,70,111,"oven1_tr.png",1,27,27,1.149,1,1.1163,2,0.5012,1,"YA","Night","Maheria"
"partyhats1_tr.png",175,175,"[]","[]",0.4664,"Sub148_ToD",270,"[]","[]","Bckg110.jpg",52,18,49,2,1,1,55,52,175,231,196,52,"partyhats1_tr.png",1,231,231,0.3973,1,0.7815,2,0.4519,1,"YA","Night","Maheria"
"penguin1_tr.png",333,333,"[]","[]",0.2351,"Sub148_ToD",270,"[]","[]","Bckg114.jpg",71,7,75,2,1,1,72,71,333,350,66,71,"penguin1_tr.png",1,350,350,1.0746,1,0.663,2,0.4654,1,"YA","Night","Maheria"
