"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition"
"abacus1_tr.png",303,303,-0.184561913,0.119855908,5.83,"Sub072_ToD",281,"-0.110032425","-0.190581751","Bckg135.jpg",299,41,4,1,1,1,23,299,113,108,23,299,"abacus1_tr.png",1,210,210,4.815,1,1.966,1,0.735,1,"OA","Morning"
"airfreshener1_tr.png",4,4,0.015350948,0.219528783,5.699,"Sub072_ToD",281,"0.026819159","0.21842452","Bckg42.jpg",2,91,30,1,1,1,19,2,156,345,88,2,"airfreshener1_tr.png",1,367,7,3.164,1,2.265,1,0.618,1,"OA","Morning"
"apple1_tr.png",475,115,0.199446487,-0.093003424,6.551,"Sub072_ToD",281,"0.19430573","-0.103314189","Bckg81.jpg",114,62,50,2,1,1,76,114,347,32,264,114,"apple1_tr.png",1,118,118,4.269,1,1.483,1,0.587,1,"OA","Morning"
"banana1_tr.png",403,43,0.150083867,0.160945243,4.784,"Sub072_ToD",281,"0.158301405","0.15286989","Bckg93.jpg",44,114,104,3,1,1,87,44,233,78,338,44,"banana1_tr.png",1,46,46,3.749,1,1.481,1,0.955,1,"OA","Morning"
"basket1_tr.png",116,116,0.197792977,-0.096470081,5.195,"Sub072_ToD",281,"0.13548545","-0.173413468","Bckg24.jpg",110,8,43,2,1,1,70,110,14,332,96,110,"basket1_tr.png",1,502,142,5.313,1,1.571,2,1.217,1,"OA","Morning"
"bed1_tr.png",244,244,-0.197792977,-0.096470081,5.466,"Sub072_ToD",281,"-0.217355487","-0.034425727","Bckg77.jpg",245,120,47,2,1,1,65,245,138,143,160,245,"bed1_tr.png",1,261,261,4.265,1,1.838,1,0.666,1,"OA","Morning"
"binder1_tr.png",450,90,0.22006485,5.39003e-17,5.449,"Sub072_ToD",281,"0.182442029","0.123058702","Bckg82.jpg",91,21,89,3,1,1,118,91,236,320,312,91,"binder1_tr.png",1,416,56,7.15,1,1.617,2,1.504,1,"OA","Morning"
"bottleofwine1_tr.png",117,117,0.196079217,-0.099907351,3.116,"Sub072_ToD",281,"0.166085051","-0.144375532","Bckg29.jpg",126,71,85,3,1,1,112,126,55,131,270,126,"bottleofwine1_tr.png",1,131,131,2.071,1,1.329,1,0.522,1,"OA","Morning"
"bow1_tr.png",523,163,0.064340735,-0.210449063,5.867,"Sub072_ToD",281,"0.056956974","-0.212566322","Bckg54.jpg",172,67,72,2,1,1,77,172,311,5,258,172,"bow1_tr.png",1,165,165,5.182,1,1.877,1,0.667,1,"OA","Morning"
"bowls1_tr.png",436,76,0.213527983,0.053238506,5.534,"Sub072_ToD",281,"0.011517304","0.219763259","Bckg103.jpg",76,79,49,2,1,1,44,76,238,207,139,76,"bowls1_tr.png",1,363,3,5.899,1,1.447,1,0.632,1,"OA","Morning"
"breakfast1_tr.png",298,298,-0.19430573,0.103314189,3.568,"Sub072_ToD",281,"-0.202570762","0.085986187","Bckg89.jpg",300,3,80,2,1,1,68,300,348,149,173,300,"breakfast1_tr.png",1,293,293,4.701,1,1.545,1,0.485,1,"OA","Morning"
"cabinet1_tr.png",345,345,-0.056956974,0.212566322,2.933,"Sub072_ToD",281,"-0.158301405","0.15286989","Bckg13.jpg",355,110,120,3,1,1,106,355,291,250,164,355,"cabinet1_tr.png",1,314,314,3.35,1,1.347,1,0.433,1,"OA","Morning"
"clock1_tr.png",130,130,0.168579455,-0.141454959,2.028,"Sub072_ToD",281,"-0.184561913","-0.119855908","Bckg137.jpg",133,76,27,1,1,1,36,133,128,1,280,133,"clock1_tr.png",1,-123,237,5.529,1,2.712,2,0.6,1,"OA","Morning"
