"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition","collected_by"
"apple1_tr.png",477,117,"0.199786187","-0.101796147",60.611,"Sub117_ToD",207,"0.190153822","-0.118821295","Bckg81.jpg",114,62,23,1,1,1,23,114,347,32,264,114,"apple1_tr.png",1,122,122,41.068,1,1.638,1,2.737,1,"YA","Morning","Julia"
"asparagus1_tr.png",258,258,"-0.21932542","-0.046619057",14.678,"Sub117_ToD",207,"-0.224191129","0.003913271","Bckg134.jpg",263,47,62,2,1,1,47,263,290,137,190,263,"asparagus1_tr.png",1,271,271,55.303,1,1.582,1,1.785,1,"YA","Morning","Julia"
"bagel1_tr.png",257,257,"-0.218478401","-0.050439713",9.281,"Sub117_ToD",207,"-0.222043135","-0.031206128","Bckg43.jpg",246,20,16,1,1,1,35,246,243,284,250,246,"bagel1_tr.png",1,262,262,11.385,1,2.358,2,1.715,1,"YA","Morning","Julia"
"banana1_tr.png",233,233,"[]","[]",2.385,"Sub117_ToD",207,"0.155759968","0.161294168","Bckg93.jpg",44,114,44,2,1,1,45,44,233,78,338,44,"banana1_tr.png",1,44,44,18.617,1,1.585,1,1.707,1,"YA","Morning","Julia"
"bandaid1_tr.png",247,247,"-0.206400459","-0.087611797",42.929,"Sub117_ToD",207,"-0.179074271","-0.134942142","Bckg45.jpg",246,107,102,3,1,1,98,246,143,243,11,246,"bandaid1_tr.png",1,233,233,11.308,1,1.59,1,0.868,1,"YA","Morning","Julia"
"bed1_tr.png",230,230,"-0.17176653","-0.144129232",38.883,"Sub117_ToD",207,"[]","[]","Bckg77.jpg",245,120,103,3,1,1,119,245,138,143,160,245,"bed1_tr.png",1,143,143,2.391,1,1.592,2,1.712,1,"YA","Morning","Julia"
"binder1_tr.png",98,98,"0.222043135","-0.031206128",63.891,"Sub117_ToD",207,"[]","[]","Bckg82.jpg",91,21,94,3,1,1,120,91,236,320,312,91,"binder1_tr.png",1,320,320,0.805,1,3.157,2,0.869,1,"YA","Morning","Julia"
"bowlingpin1_tr.png",303,303,"-0.188051143","0.12212184",35.64,"Sub117_ToD",207,"0.188051143","-0.12212184","Bckg34.jpg",301,48,84,3,1,1,117,301,219,51,324,301,"bowlingpin1_tr.png",1,123,123,30.073,1,1.58,1,1.71,1,"YA","Morning","Julia"
"bowls1_tr.png",90,90,"0.22422528","0",68.937,"Sub117_ToD",207,"0.158551216","-0.158551216","Bckg103.jpg",76,79,118,3,1,1,109,76,238,207,139,76,"bowls1_tr.png",1,135,135,35.451,1,1.586,2,5.086,1,"YA","Morning","Julia"
"boxinggloves1_tr.png",295,295,"-0.203217117","0.094761698",59.468,"Sub117_ToD",207,"-0.212009167","0.073000611","Bckg131.jpg",276,95,15,1,1,1,38,276,159,125,149,276,"boxinggloves1_tr.png",1,289,289,70.384,1,2.385,1,1.712,1,"YA","Morning","Julia"
"cakemixer1_tr.png",268,268,"-0.224088688","-0.007825349",66.001,"Sub117_ToD",207,"-0.22422528","-2.74597E-17","Bckg12.jpg",255,117,77,2,1,1,51,255,108,314,330,255,"cakemixer1_tr.png",1,270,270,20.695,1,1.616,1,1.718,1,"YA","Morning","Julia"
"coat1_tr.png",449,89,"0.224191129","0.003913271",66.696,"Sub117_ToD",207,"0.223917987","-0.011735044","Bckg108.jpg",94,102,39,1,1,1,5,94,309,13,198,94,"coat1_tr.png",1,93,93,36.236,1,8.685,1,1.752,1,"YA","Morning","Julia"
"coffeemug1_tr.png",313,313,"-0.163987989","0.152921273",28.921,"Sub117_ToD",207,"-0.101796147","0.199786187","Bckg20.jpg",325,70,8,1,1,1,39,325,253,113,22,325,"coffeemug1_tr.png",1,-27,333,64.693,1,2.377,1,3.399,1,"YA","Morning","Julia"
"cow1_tr.png",366,6,"0.023437924","0.22299695",86.102,"Sub117_ToD",207,"0.003913271","0.224191129","Bckg113.jpg",352,24,33,1,1,1,40,352,172,11,137,352,"cow1_tr.png",1,1,1,8,1,2.36,1,1.709,1,"YA","Morning","Julia"
"crayon1_tr.png",270,270,"-0.22422528","-2.74597E-17",22.085,"Sub117_ToD",207,"-0.224088688","-0.007825349","Bckg87.jpg",267,33,87,3,1,1,103,267,220,22,283,267,"crayon1_tr.png",1,-92,268,53.268,1,2.372,1,0.865,1,"YA","Morning","Julia"
"cucumber1_tr.png",432,72,"0.213250914","0.069289422",60.326,"Sub117_ToD",207,"-0.161294168","0.155759968","Bckg92.jpg",82,87,108,3,1,1,102,82,286,332,303,82,"cucumber1_tr.png",1,314,314,8.938,1,2.357,1,0.868,1,"YA","Morning","Julia"
"dog1_tr.png",26,26,"0.098293893","0.201532347",4.813,"Sub117_ToD",207,"0.138046867","0.176691932","Bckg23.jpg",167,111,114,3,1,1,84,167,16,26,214,167,"dog1_tr.png",1,38,38,6.429,1,3.235,2,1.734,1,"YA","Morning","Julia"
"dress1_tr.png",93,93,"0.223917987","-0.011735044",72.948,"Sub117_ToD",207,"0.224191129","-0.003913271","Bckg96.jpg",83,51,7,1,1,1,28,83,239,71,9,83,"dress1_tr.png",1,91,91,15.348,1,6.435,1,1.709,1,"YA","Morning","Julia"
"fantacan1_tr.png",116,116,"0.201532347","-0.098293893",35.286,"Sub117_ToD",207,"0.038936311","0.220818794","Bckg86.jpg",126,84,83,3,1,1,104,126,32,278,53,126,"fantacan1_tr.png",1,370,10,38.978,1,3.145,1,1.708,1,"YA","Morning","Julia"
"grater1_tr.png",225,225,"-0.158551216","-0.158551216",23.655,"Sub117_ToD",207,"-0.152921273","-0.163987989","Bckg118.jpg",227,108,5,1,1,1,29,227,183,311,225,227,"grater1_tr.png",1,223,223,38.884,1,2.379,1,1.709,1,"YA","Morning","Julia"
"hairdryer1_tr.png",60,60,"0.194184789","0.11211264",7.209,"Sub117_ToD",207,"[]","[]","Bckg79.jpg",63,73,73,2,1,1,41,63,52,27,90,63,"hairdryer1_tr.png",1,27,27,1.611,1,5.54,2,1.745,1,"YA","Morning","Julia"
"handbag1_tr.png",437,77,"0.218478401","0.050439713",67.564,"Sub117_ToD",207,"-0.190153822","-0.118821295","Bckg97.jpg",66,94,82,3,1,1,97,66,275,244,269,66,"handbag1_tr.png",1,238,238,8.118,1,1.614,1,0.885,1,"YA","Morning","Julia"
"hotdog1_tr.png",489,129,"0.174255771","-0.141109541",75.875,"Sub117_ToD",207,"-0.141109541","-0.174255771","Bckg126.jpg",152,42,28,1,1,1,27,152,327,275,320,152,"hotdog1_tr.png",1,219,219,29.355,1,3.274,1,1.966,1,"YA","Morning","Julia"
"iceskates1_tr.png",200,200,"-0.076689562","-0.210702841",37.654,"Sub117_ToD",207,"0.223917987","-0.011735044","Bckg27.jpg",186,64,2,1,1,1,14,186,280,131,293,186,"iceskates1_tr.png",1,93,93,16.297,1,2.354,1,1.716,1,"YA","Morning","Julia"
"jackolantern1_tr.png",61,61,"0.196111849","0.108706573",43.161,"Sub117_ToD",207,"0.21932542","0.046619057","Bckg21.jpg",51,93,68,2,1,1,54,51,161,66,118,51,"jackolantern1_tr.png",1,78,78,6.433,1,4.716,2,1.711,1,"YA","Morning","Julia"
"pan1_tr.png",133,133,"0.163987989","-0.152921273",22.351,"Sub117_ToD",207,"0.204839986","0.091200638","Bckg58.jpg",133,116,12,1,1,1,17,133,89,30,229,133,"pan1_tr.png",1,66,66,15.475,1,2.358,2,1.723,1,"YA","Morning","Julia"
"partyhats1_tr.png",87,87,"0.223917987","0.011735044",37.539,"Sub117_ToD",207,"-0.12212184","-0.188051143","Bckg110.jpg",52,18,51,2,1,1,69,52,175,231,196,52,"partyhats1_tr.png",1,213,213,10.557,1,2.389,1,1.711,1,"YA","Morning","Julia"
"penguin1_tr.png",423,63,"0.199786187","0.101796147",37.645,"Sub117_ToD",207,"0.054245005","0.217564831","Bckg114.jpg",71,7,49,2,1,1,64,71,333,350,66,71,"penguin1_tr.png",1,374,14,10.665,1,2.37,2,0.885,1,"YA","Morning","Julia"
"ricecooker1_tr.png",46,46,"0.161294168","0.155759968",59.659,"Sub117_ToD",207,"[]","[]","Bckg102.jpg",14,19,81,3,1,1,106,14,178,267,92,14,"ricecooker1_tr.png",1,267,267,2.392,1,1.599,2,0.868,1,"YA","Morning","Julia"
"rubikscube1_tr.png",102,102,"0.21932542","-0.046619057",41.26,"Sub117_ToD",207,"-0.166631857","0.150035998","Bckg122.jpg",113,105,98,3,1,1,82,113,4,222,200,113,"rubikscube1_tr.png",1,312,312,38.168,1,2.406,1,1.916,1,"YA","Morning","Julia"
"scarf1_tr.png",265,265,"-0.223372035","-0.019542521",14.551,"Sub117_ToD",207,"-0.223679078","-0.015641165","Bckg51.jpg",276,59,107,3,1,1,95,276,231,56,236,276,"scarf1_tr.png",1,-94,266,62.709,1,2.358,1,0.878,1,"YA","Morning","Julia"
