"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition"
"abacus1_tr.png",-59,301,-0.188632393,0.113341777,4.7144,"Sub138_ToD",55,-0.219930792,0.007680153,"Bckg135.jpg",299,41,110,3,1,1,86,299,113,108,23,299,"abacus1_tr.png",1,-88,272,5.1152,1,1.7615,1,0.4729,1,"OA","Morning"
"airfreshener1_tr.png",0,0,1.34751e-17,0.22006485,4.9583,"Sub138_ToD",55,-0.003840661,0.220031333,"Bckg42.jpg",2,91,57,2,1,1,75,2,156,345,88,2,"airfreshener1_tr.png",1,359,359,3.599,1,2.7061,1,1.2525,1,"OA","Morning"
"apple1_tr.png",479,119,0.192473055,-0.106689556,7.0675,"Sub138_ToD",55,0.21672157,-0.03821386,"Bckg81.jpg",114,62,3,1,1,1,6,114,347,32,264,114,"apple1_tr.png",1,100,100,3.7899,1,3.347,1,1.2323,1,"OA","Morning"
"bagel1_tr.png",233,233,-0.175751604,-0.132438333,6.2837,"Sub138_ToD",55,-0.123058702,-0.182442029,"Bckg43.jpg",246,20,14,1,1,1,31,246,243,284,250,246,"bagel1_tr.png",1,214,214,8.113,1,2.3148,1,1.1332,1,"OA","Morning"
"bandaid1_tr.png",237,237,-0.184561913,-0.119855908,6.6837,"Sub138_ToD",55,-0.171022509,-0.138491297,"Bckg45.jpg",246,107,86,3,1,1,110,246,143,243,11,246,"bandaid1_tr.png",1,231,231,10.6157,1,2.4068,2,1.9009,1,"OA","Morning"
"basket1_tr.png",120,120,0.190581751,-0.110032425,4.7703,"Sub138_ToD",55,0.19430573,-0.103314189,"Bckg24.jpg",110,8,77,2,1,1,53,110,14,332,96,110,"basket1_tr.png",1,478,118,6.4044,1,2.0076,1,0.5727,1,"OA","Morning"
"binder1_tr.png",80,80,0.21672157,0.03821386,6.4725,"Sub138_ToD",55,0.219930792,0.007680153,"Bckg82.jpg",91,21,83,3,1,1,94,91,236,320,312,91,"binder1_tr.png",1,448,88,6.6387,1,1.6804,1,0.7155,1,"OA","Morning"
"bottleofwine1_tr.png",125,125,0.180266572,-0.126224012,5.209,"Sub138_ToD",55,0.04950382,-0.214424602,"Bckg29.jpg",126,71,9,1,1,1,28,126,55,131,270,126,"bottleofwine1_tr.png",1,167,167,6.6977,1,2.9017,1,1.1952,1,"OA","Morning"
"cabinet1_tr.png",349,349,-0.041990353,0.216021639,4.7179,"Sub138_ToD",55,-0.007680153,0.219930792,"Bckg13.jpg",355,110,80,2,1,1,60,355,291,250,164,355,"cabinet1_tr.png",1,358,358,6.3482,1,2.1467,1,1.2706,1,"OA","Morning"
"coke1_tr.png",-39,321,-0.138491297,0.171022509,4.0849,"Sub138_ToD",55,-0.119855908,0.184561913,"Bckg78.jpg",322,74,27,1,1,1,33,322,31,323,307,322,"coke1_tr.png",1,327,327,4.1854,1,3.3483,1,1.6008,1,"OA","Morning"
