"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition"
"abacus1_tr.png",283,283,"-0.163645443","0.037780527",3.9533,"Sub020_ToD",220,"-0.112380479","0.124811166","Bckg135.jpg",299,41,16,1,1,1,19,299,113,108,23,299,"abacus1_tr.png",1,-42,318,5.4691,1,2.3959,1,1.8266,1,"OA","Morning"
"asparagus1_tr.png",270,270,"-0.16794999","-2.05679E-17",5.8006,"Sub020_ToD",220,"-0.16771982","0.008789823","Bckg134.jpg",263,47,107,3,1,1,90,263,290,137,190,263,"asparagus1_tr.png",1,273,273,3.9862,1,1.7772,1,0.9681,1,"OA","Morning"
"banana1_tr.png",419,59,"0.14396124","0.08650064",5.2346,"Sub020_ToD",220,"0.120813112","0.116667866","Bckg93.jpg",44,114,9,1,1,1,21,44,233,78,338,44,"banana1_tr.png",1,46,46,4.702,1,3.1273,1,1.3328,1,"OA","Morning"
"bandaid1_tr.png",251,251,"-0.158799835","-0.054679168",3.5512,"Sub020_ToD",220,"-0.154598781","-0.065623289","Bckg45.jpg",246,107,103,3,1,1,91,246,143,243,11,246,"bandaid1_tr.png",1,247,247,1.6293,1,1.5584,1,1.6154,1,"OA","Morning"
"basket1_tr.png",100,100,"0.165398452","-0.02916421",3.3352,"Sub020_ToD",220,"0.116667866","0.120813112","Bckg24.jpg",110,8,12,1,1,1,29,110,14,332,96,110,"basket1_tr.png",1,404,44,3.2975,1,3.8979,2,1.9413,1,"OA","Morning"
"bathroomscale1_tr.png",219,219,"-0.105694353","-0.130521656",4.1812,"Sub020_ToD",220,"-0.054679168","0.158799835","Bckg17.jpg",226,17,54,2,1,1,45,226,235,285,318,226,"bathroomscale1_tr.png",1,341,341,2.803,1,1.6997,2,2.0023,1,"OA","Morning"
"binder1_tr.png",94,94,"0.167540872","-0.011715599",4.8745,"Sub020_ToD",220,"0.16427988","0.034918766","Bckg82.jpg",91,21,91,3,1,1,108,91,236,320,312,91,"binder1_tr.png",1,438,78,3.4316,1,2.8677,1,0.9651,1,"OA","Morning"
"bow1_tr.png",165,165,"0.043468656","-0.162227233",5.7821,"Sub020_ToD",220,"0.065623289","-0.154598781","Bckg54.jpg",172,67,68,2,1,1,41,172,311,5,258,172,"bow1_tr.png",1,157,157,4.7005,1,2.9249,1,1.1063,1,"OA","Morning"
"bowls1_tr.png",84,84,"0.167029942","0.017555554",5.6201,"Sub020_ToD",220,"0.164864276","0.032046369","Bckg103.jpg",76,79,110,3,1,1,94,76,238,207,139,76,"bowls1_tr.png",1,79,79,4.7374,1,2.022,1,0.9346,1,"OA","Morning"
"boxinggloves1_tr.png",273,273,"-0.16771982","0.008789823",3.1192,"Sub020_ToD",220,"-0.16792441","0.002931131","Bckg131.jpg",276,95,23,1,1,1,15,276,159,125,149,276,"boxinggloves1_tr.png",1,271,271,4.3176,1,2.1168,1,1.2847,1,"OA","Morning"
"coat1_tr.png",455,95,"0.16731089","-0.014637806",4.1057,"Sub020_ToD",220,"0.16771982","-0.008789823","Bckg108.jpg",94,102,22,1,1,1,38,94,309,13,198,94,"coat1_tr.png",1,93,93,3.7949,1,3.3677,1,1.3151,1,"OA","Morning"
"coffeemug1_tr.png",315,315,"-0.118758577","0.118758577",5.5964,"Sub020_ToD",220,"0.156794823","0.060187894","Bckg20.jpg",325,70,40,1,1,1,1,325,253,113,22,325,"coffeemug1_tr.png",1,69,69,6.0479,1,3.2457,2,1.1091,1,"OA","Morning"
"coke1_tr.png",-33,327,"-0.09147212","0.140854713",2.9001,"Sub020_ToD",220,"-0.101074827","0.134130826","Bckg78.jpg",322,74,71,2,1,1,75,322,31,323,307,322,"coke1_tr.png",1,323,323,2.3672,1,2.475,1,1.1863,1,"OA","Morning"
"crayon1_tr.png",264,264,"-0.167029942","-0.017555554",3.5142,"Sub020_ToD",220,"-0.167029942","-0.017555554","Bckg87.jpg",267,33,115,3,1,1,103,267,220,22,283,267,"crayon1_tr.png",1,-96,264,4.9556,1,1.6125,1,0.8877,1,"OA","Morning"
"cucumber1_tr.png",450,90,"0.16794999","4.11359E-17",4.732,"Sub020_ToD",220,"0.165398452","0.02916421","Bckg92.jpg",82,87,36,1,1,1,20,82,286,332,303,82,"cucumber1_tr.png",1,440,80,6.8811,1,1.9477,1,1.164,1,"OA","Morning"
"dog1_tr.png",162,162,"0.051899401","-0.159729932",3.7303,"Sub020_ToD",220,"0.051899401","-0.159729932","Bckg23.jpg",167,111,13,1,1,1,32,167,16,26,214,167,"dog1_tr.png",1,162,162,7.8768,1,5.7042,1,1.3582,1,"OA","Morning"
"eggs1_tr.png",88,88,"0.167847679","0.00586137",2.458,"Sub020_ToD",220,"0.163645443","0.037780527","Bckg132.jpg",84,28,85,3,1,1,118,84,124,265,170,84,"eggs1_tr.png",1,437,77,4.0391,1,1.5177,1,1.1847,1,"OA","Morning"
"fantacan1_tr.png",130,130,"0.128657157","-0.107956173",2.618,"Sub020_ToD",220,"0.132346398","0.103400339","Bckg86.jpg",126,84,29,1,1,1,34,126,32,278,53,126,"fantacan1_tr.png",1,412,52,5.944,1,3.014,2,1.5493,1,"OA","Morning"
"grater1_tr.png",221,221,"-0.110185107","-0.126753466",1.7039,"Sub020_ToD",220,"-0.118758577","-0.118758577","Bckg118.jpg",227,108,10,1,1,1,17,227,183,311,225,227,"grater1_tr.png",1,225,225,4.4679,1,1.6185,1,1.3209,1,"OA","Morning"
"hammer1_tr.png",213,213,"-0.09147212","-0.140854713",2.9339,"Sub020_ToD",220,"-0.096332157","-0.137576578","Bckg138.jpg",237,118,48,2,1,1,77,237,139,321,245,237,"hammer1_tr.png",1,215,215,4.2363,1,2.4477,1,1.0708,1,"OA","Morning"
"hat1_tr.png",241,241,"-0.146892371","-0.081423771",2.2241,"Sub020_ToD",220,"-0.093916443","0.139236852","Bckg133.jpg",235,68,60,2,1,1,71,235,251,330,13,235,"hat1_tr.png",1,326,326,1.5501,1,3.9337,2,1.3739,1,"OA","Morning"
"highheel1_tr.png",122,122,"0.142429669","-0.088999935",1.7165,"Sub020_ToD",220,"0.120813112","-0.116667866","Bckg57.jpg",128,77,57,2,1,1,43,128,108,34,194,128,"highheel1_tr.png",1,134,134,3.2502,1,4.0676,1,2.5208,1,"OA","Morning"
"iceskates1_tr.png",196,196,"-0.046293291","-0.161443892",6.0734,"Sub020_ToD",220,"-0.037780527","-0.163645443","Bckg27.jpg",186,64,90,3,1,1,81,186,280,131,293,186,"iceskates1_tr.png",1,193,193,3.1245,1,1.625,1,0.9543,1,"OA","Morning"
"jellybeans1_tr.png",579,219,"-0.105694353","-0.130521656",5.5674,"Sub020_ToD",220,"0.142429669","0.088999935","Bckg46.jpg",235,49,8,1,1,1,5,235,347,110,157,235,"jellybeans1_tr.png",1,58,58,7.5826,1,1.9284,2,1.3588,1,"OA","Morning"
