"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition","collected_by"
"abacus1_tr.png",295,295,-0.206987747,0.096519972,4.2979,"Sub102_ToD",110,"-0.223394934","-0.047484059","Bckg135.jpg",299,41,110,3,1,1,94,299,113,108,23,299,"abacus1_tr.png",1,258,258,5.1513,1,1.8839,2,0.8494,1,"YA","Night","Julia"
"asparagus1_tr.png",262,262,-0.226163076,-0.031785147,2.6035,"Sub102_ToD",110,"-0.227516633","0.019905126","Bckg134.jpg",263,47,59,2,1,1,73,263,290,137,190,263,"asparagus1_tr.png",1,275,275,4.0504,1,1.3892,1,0.9867,1,"YA","Night","Julia"
"bathroomscale1_tr.png",229,229,-0.172364883,-0.149834507,2.565,"Sub102_ToD",110,"-0.149834507","-0.172364883","Bckg17.jpg",226,17,48,2,1,1,59,226,235,285,318,226,"bathroomscale1_tr.png",1,221,221,3.454,1,1.6004,1,0.7609,1,"YA","Night","Julia"
"bbqmachine1_tr.png",171,171,0.035727396,-0.225573903,4.0873,"Sub102_ToD",110,"-0.092892837","-0.208640728","Bckg48.jpg",172,40,9,1,1,1,2,172,331,332,338,172,"bbqmachine1_tr.png",1,204,204,5.7747,1,2.6142,2,1.2096,1,"YA","Night","Julia"
"bike1_tr.png",137,137,0.15575868,-0.167030734,3.3063,"Sub102_ToD",110,"[]","[]","Bckg39.jpg",135,2,95,3,1,1,114,135,209,107,240,135,"bike1_tr.png",1,107,107,1.0978,1,3.9174,2,0.6212,1,"YA","Night","Julia"
"bottleofwine1_tr.png",131,131,0.172364883,-0.149834507,4.2255,"Sub102_ToD",110,"[]","[]","Bckg29.jpg",126,71,82,3,1,1,115,126,55,131,270,126,"bottleofwine1_tr.png",1,131,131,0.8041,1,1.8154,2,0.6185,1,"YA","Night","Julia"
"bow1_tr.png",167,167,0.051375606,-0.222532199,3.6883,"Sub102_ToD",110,"-0.011952785","-0.228072715","Bckg54.jpg",172,67,29,1,1,1,3,172,311,5,258,172,"bow1_tr.png",1,-177,183,6.7522,1,5.7465,2,1.337,1,"YA","Night","Julia"
"bowls1_tr.png",82,82,0.226163076,0.031785147,4.732,"Sub102_ToD",110,"0.228350926","0.00398588","Bckg103.jpg",76,79,78,2,1,1,52,76,238,207,139,76,"bowls1_tr.png",1,449,89,6.9938,1,3.1421,1,0.7341,1,"YA","Night","Julia"
"boxinggloves1_tr.png",271,271,-0.228350926,0.00398588,3.5636,"Sub102_ToD",110,"-0.228072715","0.011952785","Bckg131.jpg",276,95,109,3,1,1,100,276,159,125,149,276,"boxinggloves1_tr.png",1,273,273,5.5479,1,1.3337,1,0.6677,1,"YA","Night","Julia"
"cabinet1_tr.png",355,355,-0.019905126,0.227516633,3.1904,"Sub102_ToD",110,"-0.015931382","0.227829374","Bckg13.jpg",355,110,26,1,1,1,6,355,291,250,164,355,"cabinet1_tr.png",1,356,356,3.7823,1,3.719,1,1.2404,1,"YA","Night","Julia"
"cakemixer1_tr.png",254,254,-0.219538435,-0.062951633,8.1655,"Sub102_ToD",110,"-0.164286931","-0.158650045","Bckg12.jpg",255,117,55,2,1,1,78,255,108,314,330,255,"cakemixer1_tr.png",1,226,226,3.787,1,3.5174,2,0.8287,1,"YA","Night","Julia"
"coffeemug1_tr.png",329,329,-0.117627336,0.195764763,3.5492,"Sub102_ToD",110,"0.187082621","-0.130996662","Bckg20.jpg",325,70,11,1,1,1,30,325,253,113,22,325,"coffeemug1_tr.png",1,125,125,8.0993,1,3.1607,2,1.7937,1,"YA","Night","Julia"
