"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition","collected_by"
"airfreshener1_tr.png",2,2,0.008742383,0.250349081,5.6971,"Sub026_ToD",266,-0.004371857,0.250463527,"Bckg42.jpg",2,91,110,3,1,1,83,2,156,345,88,2,"airfreshener1_tr.png",1,359,359,3.3817,1,0.8447,1,0.4258,1,"YA","Morning","Julia"
"asparagus1_tr.png",262,262,-0.248063815,-0.034863096,3.0365,"Sub026_ToD",266,0.136432993,-0.210088386,"Bckg134.jpg",263,47,70,2,1,1,73,263,290,137,190,263,"asparagus1_tr.png",1,147,147,6.9677,1,0.8608,2,0.6765,1,"YA","Morning","Julia"
"banana1_tr.png",415,55,0.205198963,0.143681861,5.9556,"Sub026_ToD",266,0.08567662,0.23539458,"Bckg93.jpg",44,114,116,3,1,1,111,44,233,78,338,44,"banana1_tr.png",1,20,20,3.1292,1,1.0992,2,0.5644,1,"YA","Morning","Julia"
"bandaid1_tr.png",251,251,-0.236853992,-0.08155537,4.4652,"Sub026_ToD",266,-0.236853992,-0.08155537,"Bckg45.jpg",246,107,84,3,1,1,99,246,143,243,11,246,"bandaid1_tr.png",1,251,251,2.9032,1,1.2447,1,0.3942,1,"YA","Morning","Julia"
"basket1_tr.png",100,100,0.246695997,-0.04349916,3.4569,"Sub026_ToD",266,0.207675305,-0.140078762,"Bckg24.jpg",110,8,79,2,1,1,54,110,14,332,96,110,"basket1_tr.png",1,484,124,5.2951,1,1.4985,1,0.584,1,"YA","Morning","Julia"
"bathroomscale1_tr.png",227,227,-0.183205331,-0.170841735,2.107,"Sub026_ToD",266,-0.157645815,-0.194676369,"Bckg17.jpg",226,17,23,1,1,1,29,226,235,285,318,226,"bathroomscale1_tr.png",1,219,219,4.9419,1,1.0103,1,0.2974,1,"YA","Morning","Julia"
"bed1_tr.png",246,246,-0.228844672,-0.101888212,5.3742,"Sub026_ToD",266,-0.150755674,-0.200059537,"Bckg77.jpg",245,120,119,3,1,1,108,245,138,143,160,245,"bed1_tr.png",1,217,217,4.5596,1,1.1935,1,0.6813,1,"YA","Morning","Julia"
"binder1_tr.png",104,104,0.24306071,-0.060601841,6.0021,"Sub026_ToD",266,-0.216940819,-0.12525084,"Bckg82.jpg",91,21,111,3,1,1,119,91,236,320,312,91,"binder1_tr.png",1,240,240,4.3414,1,0.9665,2,0.3316,1,"YA","Morning","Julia"
"bow1_tr.png",169,169,0.047797974,-0.245899259,5.6351,"Sub026_ToD",266,0.02183266,-0.249548445,"Bckg54.jpg",172,67,105,3,1,1,118,172,311,5,258,172,"bow1_tr.png",1,-185,175,7.3214,1,0.8005,1,0.9057,1,"YA","Morning","Julia"
"bowls1_tr.png",78,78,0.245027617,0.052082228,6.5736,"Sub026_ToD",266,-0.039187096,-0.247417589,"Bckg103.jpg",76,79,61,2,1,1,53,76,238,207,139,76,"bowls1_tr.png",1,189,189,2.5229,1,2.2596,2,0.8447,1,"YA","Morning","Julia"
