"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition"
"airfreshener1_tr.png",2,2,"0.007680153","0.219930792",17.9758,"Sub077_ToD",166,"0.003840661","0.220031333","Bckg42.jpg",2,91,22,1,1,1,3,2,156,345,88,2,"airfreshener1_tr.png",1,361,1,7.3347,1,3.5024,1,1.1302,1,"OA","Morning"
"bandaid1_tr.png",205,205,"-0.093003424","-0.199446487",11.0508,"Sub077_ToD",166,"[]","[]","Bckg45.jpg",246,107,51,2,1,1,70,246,143,243,11,246,"bandaid1_tr.png",1,243,243,4.117,1,1.751,2,1.7204,1,"OA","Morning"
"bathingsuit1_tr.png",311,311,"[]","[]",2.7244,"Sub077_ToD",166,"-0.199446487","0.093003424","Bckg19.jpg",288,65,4,1,1,1,5,288,311,51,176,288,"bathingsuit1_tr.png",1,-65,295,17.1344,1,3.4694,1,2.306,1,"OA","Morning"
"bathroomscale1_tr.png",235,235,"[]","[]",1.6834,"Sub077_ToD",166,"-0.138491297","-0.171022509","Bckg17.jpg",226,17,76,2,1,1,43,226,235,285,318,226,"bathroomscale1_tr.png",1,219,219,13.851,1,1.6807,1,2.0899,1,"OA","Morning"
"bbqmachine1_tr.png",509,149,"0.113341777","-0.188632393",25.707,"Sub077_ToD",166,"0.211539911","-0.060658093","Bckg48.jpg",172,40,49,2,1,1,66,172,331,332,338,172,"bbqmachine1_tr.png",1,466,106,17.8985,1,3.3265,2,2.9068,1,"OA","Morning"
"bell1_tr.png",337,337,"-0.085986187","0.202570762",4.8364,"Sub077_ToD",166,"0.201039244","-0.089508438","Bckg36.jpg",349,78,102,3,1,1,89,349,287,282,294,349,"bell1_tr.png",1,474,114,11.6158,1,1.1881,2,1.369,1,"OA","Morning"
"bow1_tr.png",525,165,"0.056956974","-0.212566322",7.5207,"Sub077_ToD",166,"0.205448237","-0.078864189","Bckg54.jpg",172,67,116,3,1,1,103,172,311,5,258,172,"bow1_tr.png",1,111,111,11.8111,1,3.5242,2,1.6362,1,"OA","Morning"
"bowls1_tr.png",64,64,"0.197792977","0.096470081",24.8172,"Sub077_ToD",166,"0.219763259","0.011517304","Bckg103.jpg",76,79,27,1,1,1,30,76,238,207,139,76,"bowls1_tr.png",1,87,87,18.1183,1,3.9583,1,2.9856,1,"OA","Morning"
"cabinet1_tr.png",365,5,"0.019179915","0.219227437",4.0921,"Sub077_ToD",166,"-0.007680153","0.219930792","Bckg13.jpg",355,110,88,3,1,1,86,355,291,250,164,355,"cabinet1_tr.png",1,358,358,7.5342,1,3.4024,1,1.8985,1,"OA","Morning"
"clock1_tr.png",128,128,"[]","[]",1.2682,"Sub077_ToD",166,"0.217355487","-0.034425727","Bckg137.jpg",133,76,95,3,1,1,106,133,128,1,280,133,"clock1_tr.png",1,99,99,5.5164,1,1.6606,2,1.5371,1,"OA","Morning"
"coke1_tr.png",-29,331,"-0.106689556","0.192473055",8.9258,"Sub077_ToD",166,"[]","[]","Bckg78.jpg",322,74,31,1,1,1,31,322,31,323,307,322,"coke1_tr.png",1,323,323,5.5478,1,2.0045,1,2.627,1,"OA","Morning"
"crayon1_tr.png",266,266,"-0.219528783","-0.015350948",8.2177,"Sub077_ToD",166,"-0.219930792","-0.007680153","Bckg87.jpg",267,33,39,1,1,1,7,267,220,22,283,267,"crayon1_tr.png",1,-92,268,14.9845,1,2.1923,1,2.6831,1,"OA","Morning"
