"obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","participant","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","Imm_Delay","AgeGroup","ToD_Condition"
"apple1_tr.png",347,347,"[]","[]",1.329400001,"Sub002_ToD",141,"[]","[]","Bckg81.jpg",114,62,34,1,1,1,16,114,347,32,264,114,"apple1_tr.png",1,32,32,5.0385,1,2.6623,1,1.3476,1,"OA","Night"
"bagel1_tr.png",243,243,"[]","[]",5.0326,"Sub002_ToD",141,"[]","[]","Bckg43.jpg",246,20,58,2,1,1,42,246,243,284,250,246,"bagel1_tr.png",1,284,284,2.488400001,1,2.539200001,1,2.578200001,1,"OA","Night"
"banana1_tr.png",235,235,"-0.18152216","-0.127103185",5.1496,"Sub002_ToD",141,"[]","[]","Bckg93.jpg",44,114,88,3,1,1,101,44,233,78,338,44,"banana1_tr.png",1,78,78,2.6856,1,2.7759,2,1.550400001,1,"OA","Night"
"bandaid1_tr.png",143,143,"[]","[]",0.0322,"Sub002_ToD",141,"[]","[]","Bckg45.jpg",246,107,48,2,1,1,75,246,143,243,11,246,"bandaid1_tr.png",1,243,243,2.1579,1,2.7249,1,2.7503,1,"OA","Night"
"bathingsuit1_tr.png",311,311,"[]","[]",3.7648,"Sub002_ToD",141,"[]","[]","Bckg19.jpg",288,65,4,1,1,1,30,288,311,51,176,288,"bathingsuit1_tr.png",1,51,51,2.5625,1,3.705,2,2.610799999,1,"OA","Night"
"bbqmachine1_tr.png",331,331,"[]","[]",3.7553,"Sub002_ToD",141,"[]","[]","Bckg48.jpg",172,40,113,3,1,1,97,172,331,332,338,172,"bbqmachine1_tr.png",1,332,332,2.639599999,1,2.4034,1,1.4987,1,"OA","Night"
"bell1_tr.png",287,287,"[]","[]",0.0364,"Sub002_ToD",141,"[]","[]","Bckg36.jpg",349,78,72,2,1,1,79,349,287,282,294,349,"bell1_tr.png",1,282,282,2.6627,1,2.3998,1,1.4203,1,"OA","Night"
"binder1_tr.png",238,238,"-0.187925457","-0.117428858",4.9555,"Sub002_ToD",141,"[]","[]","Bckg82.jpg",91,21,60,2,1,1,45,91,236,320,312,91,"binder1_tr.png",1,320,320,2.5286,1,2.5562,2,1.3296,1,"OA","Night"
"bird1_tr.png",118,118,"[]","[]",2.5934,"Sub002_ToD",141,"[]","[]","Bckg2.jpg",39,72,10,1,1,1,13,39,118,137,33,39,"bird1_tr.png",1,137,137,3.8896,1,1.4735,1,2.7924,1,"OA","Night"
"bottleofwine1_tr.png",57,57,"0.185847419","0.120690725",3.7562,"Sub002_ToD",141,"[]","[]","Bckg29.jpg",126,71,85,3,1,1,113,126,55,131,270,126,"bottleofwine1_tr.png",1,131,131,2.2993,1,4.0193,1,2.3395,1,"OA","Night"
"bow1_tr.png",309,309,"-0.172213711","0.139455913",3.7508,"Sub002_ToD",141,"[]","[]","Bckg54.jpg",172,67,27,1,1,1,33,172,311,5,258,172,"bow1_tr.png",1,5,5,3.7646,1,2.4266,1,1.336,1,"OA","Night"
"bowlingpin1_tr.png",215,215,"-0.127103185","-0.18152216",5.0927,"Sub002_ToD",141,"[]","[]","Bckg34.jpg",301,48,68,2,1,1,60,301,219,51,324,301,"bowlingpin1_tr.png",1,51,51,3.9919,1,3.6774,2,3.9665,1,"OA","Night"
