"SubjectID","AgeGroup","ToD_Condition","Imm_Delay","obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt"
"Sub002_ToD_Online","YA","Morning",1,"fantacan1_tr.png",122,122,0.186811274,-0.11673264,3.3467,27,NA,NA,"Bckg86.jpg",126,84,57,2,1,1,69,126,32,278,53,126,"fantacan1_tr.png",1,278,278,0.5306,1,1.7454,2,0.5342
"Sub002_ToD_Online","YA","Morning",1,"fireextinguisher1_tr.png",300,300,-0.190771384,0.11014191,3.8279,27,NA,NA,"Bckg88.jpg",294,85,25,1,1,1,26,294,212,94,215,294,"fireextinguisher1_tr.png",1,94,94,0.4954,1,3.2448,2,1.0177
"Sub002_ToD_Online","YA","Morning",1,"highheel1_tr.png",120,120,0.190771384,-0.11014191,1.2342,27,NA,NA,"Bckg57.jpg",128,77,8,1,1,1,30,128,108,34,194,128,"highheel1_tr.png",1,34,34,0.7317,1,1.1801,2,0.5651
"Sub002_ToD_Online","YA","Morning",1,"jackolantern1_tr.png",55,55,0.180445941,0.126349608,4.6465,27,NA,NA,"Bckg21.jpg",51,93,28,1,1,1,21,51,161,66,118,51,"jackolantern1_tr.png",1,66,66,0.8789,1,3.3586,2,4.4603
"Sub002_ToD_Online","YA","Morning",1,"jellybeans1_tr.png",237,237,-0.184745556,-0.119975167,4.6276,27,NA,NA,"Bckg46.jpg",235,49,63,2,1,1,75,235,347,110,157,235,"jellybeans1_tr.png",1,110,110,0.4631,1,0.9437,2,0.4356
"Sub002_ToD_Online","YA","Morning",1,"kite1_tr.png",183,183,-0.011528764,-0.219981929,4.7946,27,0.003844483,-0.22025027,"Bckg128.jpg",181,115,38,1,1,1,33,181,59,221,177,181,"kite1_tr.png",1,179,179,5.0415,1,1.1959,1,0.9335
"Sub002_ToD_Online","YA","Morning",1,"lemon1_tr.png",383,23,0.086071746,0.202772325,4.5602,27,NA,NA,"Bckg99.jpg",20,66,3,1,1,1,16,20,265,285,180,20,"lemon1_tr.png",1,285,285,1.1808,1,1.0127,2,0.6328
"Sub002_ToD_Online","YA","Morning",1,"nailpolish1_tr.png",276,276,-0.219077082,0.023025929,4.2748,27,NA,NA,"Bckg84.jpg",301,32,18,1,1,1,24,301,148,320,226,301,"nailpolish1_tr.png",1,320,320,1.2079,1,3.4679,2,1.116
"Sub002_ToD_Online","YA","Morning",1,"oven1_tr.png",473,113,0.202772325,-0.086071746,6.6737,27,NA,NA,"Bckg55.jpg",111,9,39,1,1,1,36,111,305,27,70,111,"oven1_tr.png",1,27,27,1.0296,1,2.9581,2,1.466
"Sub002_ToD_Online","YA","Morning",1,"partyhats1_tr.png",43,43,0.150233204,0.161105387,8.4403,27,NA,NA,"Bckg110.jpg",52,18,84,3,1,1,113,52,175,231,196,52,"partyhats1_tr.png",1,231,231,0.5118,1,0.9924,2,0.502
"Sub002_ToD_Online","YA","Morning",1,"pinecone1_tr.png",150,150,0.11014191,-0.190771384,4.6588,27,0.057013648,-0.212777831,"Bckg10.jpg",167,55,76,2,1,1,72,167,204,167,102,167,"pinecone1_tr.png",1,165,165,1.149,1,1.544,1,2.0981
"Sub002_ToD_Online","YA","Morning",1,"pokerchips1_tr.png",17,17,0.064404756,0.210658465,5.3805,27,NA,NA,"Bckg127.jpg",11,88,98,3,1,1,112,11,51,229,63,11,"pokerchips1_tr.png",1,229,229,0.6132,1,1.7647,2,0.6505
"Sub002_ToD_Online","YA","Morning",1,"potatochips1_tr.png",16,16,0.06071845,0.211750398,5.5946,27,0.023025929,0.219077082,"Bckg124.jpg",13,81,67,2,1,1,50,13,164,112,355,13,"potatochips1_tr.png",1,6,6,4.5773,1,1.6553,1,0.852
"Sub002_ToD_Online","YA","Morning",1,"present1_tr.png",181,181,-0.003844483,-0.22025027,4.4488,27,NA,NA,"Bckg121.jpg",184,46,32,1,1,1,3,184,45,118,188,184,"present1_tr.png",1,118,118,0.8293,1,1.5866,2,0.6847
"Sub002_ToD_Online","YA","Morning",1,"rubikscube1_tr.png",110,110,0.20699908,-0.075341504,3.8811,27,NA,NA,"Bckg122.jpg",113,105,52,2,1,1,55,113,4,222,200,113,"rubikscube1_tr.png",1,222,222,0.4641,1,1.111,2,0.5337
"Sub002_ToD_Online","YA","Morning",1,"silvertray1_tr.png",287,287,-0.210658465,0.064404756,2.5583,27,NA,NA,"Bckg64.jpg",288,6,50,2,1,1,47,288,241,343,248,288,"silvertray1_tr.png",1,343,343,0.7734,1,1.4784,2,0.5672
"Sub002_ToD_Online","YA","Morning",1,"sippycup1_tr.png",110,110,0.20699908,-0.075341504,3.9911,27,NA,NA,"Bckg105.jpg",107,106,2,1,1,1,27,107,24,15,204,107,"sippycup1_tr.png",1,15,15,1.5745,1,1.2387,2,0.8174
"Sub002_ToD_Online","YA","Morning",1,"steeringwheel1_tr.png",222,222,-0.147398646,-0.163702781,4.0454,27,NA,NA,"Bckg62.jpg",229,90,72,2,1,1,51,229,132,225,181,229,"steeringwheel1_tr.png",1,225,225,0.7668,1,0.6399,2,1.1324
"Sub002_ToD_Online","YA","Morning",1,"suit1_tr.png",259,259,-0.216236586,-0.042032134,5.3425,27,NA,NA,"Bckg52.jpg",262,36,77,2,1,1,79,262,153,255,138,262,"suit1_tr.png",1,255,255,1.2188,1,2.6828,2,0.5444
"Sub002_ToD_Online","YA","Morning",1,"telephonebooth1_tr.png",212,212,-0.11673264,-0.186811274,5.0763,27,NA,NA,"Bckg107.jpg",214,63,7,1,1,1,23,214,64,281,300,214,"telephonebooth1_tr.png",1,281,281,1.0789,1,1.2258,2,0.7845
"Sub002_ToD_Online","YA","Morning",1,"toad1_tr.png",386,26,0.096566071,0.197989786,5.2619,27,NA,NA,"Bckg65.jpg",25,27,37,1,1,1,18,25,278,24,220,25,"toad1_tr.png",1,24,24,1.6291,1,1.1972,1,0.7171
"Sub002_ToD_Online","YA","Morning",1,"trumpet1_tr.png",353,353,-0.026845845,0.218641858,3.2124,27,NA,NA,"Bckg130.jpg",355,58,65,2,1,1,53,355,313,133,32,355,"trumpet1_tr.png",1,133,133,1.1176,1,2.7298,2,0.4307
"Sub002_ToD_Online","YA","Morning",1,"turtle1_tr.png",229,229,-0.166250309,-0.144519189,3.8726,27,NA,NA,"Bckg44.jpg",223,61,103,3,1,1,117,223,185,158,305,223,"turtle1_tr.png",1,158,158,0.4128,1,1.0936,2,0.4715
"Sub002_ToD_Online","YA","Morning",1,"valentinesdaycard1_tr.png",342,342,-0.068071444,0.209502362,5.7592,27,NA,NA,"Bckg111.jpg",338,26,106,3,1,1,119,338,234,203,108,338,"valentinesdaycard1_tr.png",1,203,203,0.6608,1,1.3474,2,0.5186
"Sub002_ToD_Online","YA","Morning",1,"watch1_tr.png",119,119,0.19266457,-0.106795715,3.41,27,0.175926481,-0.132570112,"Bckg117.jpg",119,43,93,3,1,1,87,119,181,237,158,119,"watch1_tr.png",1,127,127,5.6917,1,1.5197,1,0.6989
"Sub002_ToD_Online","YA","Morning",1,"wisk1_tr.png",316,316,-0.153021999,0.158458919,6.2588,27,0.071717397,-0.208282444,"Bckg95.jpg",315,23,10,1,1,1,5,315,150,163,135,315,"wisk1_tr.png",1,161,161,2.3116,1,1.8735,2,0.3838
"Sub003_ToD_Online","OA","Night",1,"asparagus1_tr.png",260,260,-0.223622158,-0.03943062,3.0535,268,-0.226207813,-0.019790619,"Bckg134.jpg",263,47,119,3,1,1,120,263,290,137,190,263,"asparagus1_tr.png",1,265,265,6.7538,1,1.9311,1,1.071
"Sub003_ToD_Online","OA","Night",1,"banana1_tr.png",417,57,0.190438511,0.123672215,4.7567,268,0.183705018,0.133469508,"Bckg93.jpg",44,114,113,3,1,1,85,44,233,78,338,44,"banana1_tr.png",1,54,54,7.8315,1,1.3849,1,0.7526
"Sub003_ToD_Online","OA","Night",1,"basket1_tr.png",116,116,0.204090863,-0.099541765,3.7414,268,0.151940751,-0.1687473,"Bckg24.jpg",110,8,75,2,1,1,79,110,14,332,96,110,"basket1_tr.png",1,498,138,6.614,1,2.3353,1,1.5263
"Sub003_ToD_Online","OA","Night",1,"bathingsuit1_tr.png",287,287,-0.217149928,0.066389396,3.4577,268,-0.226207813,-0.019790619,"Bckg19.jpg",288,65,33,1,1,1,33,288,311,51,176,288,"bathingsuit1_tr.png",1,-95,265,4.7168,1,1.5526,1,0.9513
"Sub003_ToD_Online","OA","Night",1,"bell1_tr.png",347,347,-0.051080061,0.221252052,3.5543,268,-0.062589495,0.21827551,"Bckg36.jpg",349,78,100,3,1,1,112,349,287,282,294,349,"bell1_tr.png",1,344,344,5.7947,1,1.2329,1,0.7361
"Sub003_ToD_Online","OA","Night",1,"bike1_tr.png",149,149,0.116950669,-0.194638599,3.4842,268,0.160564073,-0.160564073,"Bckg39.jpg",135,2,78,2,1,1,71,135,209,107,240,135,"bike1_tr.png",1,135,135,3.312,1,1.28,1,0.7685
"Sub003_ToD_Online","OA","Night",1,"bowls1_tr.png",84,84,0.225827966,0.023735476,9.3186,268,-0.226207813,0.019790619,"Bckg103.jpg",76,79,18,1,1,1,1,76,238,207,139,76,"bowls1_tr.png",1,275,275,4.6985,1,1.3111,1,1.0367
"Sub003_ToD_Online","OA","Night",1,"cabinet1_tr.png",361,1,0.003962951,0.227037306,5.7862,268,-0.226933564,0.007924695,"Bckg13.jpg",355,110,35,1,1,1,14,355,291,250,164,355,"cabinet1_tr.png",1,272,272,8.499,1,1.7601,1,1.1198
"Sub003_ToD_Online","OA","Night",1,"cakemixer1_tr.png",252,252,-0.215958201,-0.070169073,6.3339,268,-0.207440494,-0.092358458,"Bckg12.jpg",255,117,60,2,1,1,59,255,108,314,330,255,"cakemixer1_tr.png",1,246,246,8.0054,1,1.4357,1,1.0182
