"parameter","posterior_mean","eti_low","eti_high","p_positive","p_negative","p_meaningful","p_rope","rope_low","rope_high","decision"
"theta_tod",0.0362108563056422,-0.35365726721315,0.431829945054901,0.576617647058824,0.423382352941176,0.0857352941176471,0.914264705882353,-0.35,0.35,"Undecided"
"theta_format",-0.311943860835656,-0.713983991587232,0.0975252067426022,0.0669117647058824,0.933088235294118,0.426764705882353,0.573235294117647,-0.35,0.35,"Undecided"
"kappa_tod",0.0681632815512824,-0.26752974468989,0.403186795158215,0.661911764705882,0.338088235294118,0.587794117647059,0.412205882352941,-0.1,0.1,"Undecided"
"kappa_format",0.0791833434709605,-0.278170165886358,0.430376784251826,0.663823529411765,0.336176470588235,0.613382352941176,0.386617647058824,-0.1,0.1,"Undecided"
