"parameter","posterior_mean","hdi_low","hdi_high","p_positive","p_negative","p_meaningful","p_rope","rope_low","rope_high","decision"
"theta_tod",0.0362108563056422,-0.357688075349978,0.425117501376323,0.576617647058824,0.423382352941176,0.0857352941176471,0.914264705882353,-0.35,0.35,"Undecided"
"theta_format",-0.311943860835656,-0.704648036822556,0.10468266795149,0.0669117647058824,0.933088235294118,0.426764705882353,0.573235294117647,-0.35,0.35,"Undecided"
"kappa_tod",0.0681632815512824,-0.27904827684887,0.388106674749377,0.661911764705882,0.338088235294118,0.587794117647059,0.412205882352941,-0.1,0.1,"Undecided"
"kappa_format",0.0791833434709605,-0.277374727066727,0.431353579040562,0.663823529411765,0.336176470588235,0.613382352941176,0.386617647058824,-0.1,0.1,"Undecided"
