"SubID","MEQScore","Hours_Sleep","Chronotype","MedianSplit_MEQ","MatchCondition","AgeGroup","ToD_Condition","attention1_pass","Attention1abutton","attention1a_pass","attention2_pass","Attention2abutton","attention2a_pass","attention3_pass","Attention3abutton","attention3a_pass","attention_checks_passed"
"Sub041_ToD_Online",53,5.5,"Intermediate Type","Night","No","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub042_ToD_Online",59,8,"Morning Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,FALSE,1,TRUE,5
"Sub043_ToD_Online",69,8,"Morning Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,1,FALSE,TRUE,1,TRUE,5
"Sub044_ToD_Online",70,7,"Morning Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,1,FALSE,TRUE,1,TRUE,5
"Sub045_ToD_Online",72,5.5,"Morning Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub046_ToD_Online",46,7.5,"Intermediate Type","Night","Yes","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub047_ToD_Online",64,7.5,"Morning Type","Morning","No","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub048_ToD_Online",56,9.5,"Intermediate Type","Morning","No","OA","Night",TRUE,1,TRUE,FALSE,2,TRUE,TRUE,1,TRUE,5
"Sub049_ToD_Online",53,7,"Intermediate Type","Night","No","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub050_ToD_Online",52,7.5,"Intermediate Type","Night","No","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub051_ToD_Online",62,7.5,"Morning Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub052_ToD_Online",66,6.5,"Morning Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub053_ToD_Online",55,8,"Intermediate Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub055_ToD_Online",71,8.5,"Morning Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub056_ToD_Online",62,7,"Morning Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub057_ToD_Online",60,7,"Morning Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub059_ToD_Online",50,8,"Intermediate Type","Night","No","OA","Morning",TRUE,1,TRUE,TRUE,1,FALSE,TRUE,1,TRUE,5
"Sub060_ToD_Online",58,5,"Intermediate Type","Morning","Yes","OA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub061_ToD_Online",57,8,"Intermediate Type","Morning","Yes","YA","Morning",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub062_ToD_Online",42,6,"Intermediate Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub063_ToD_Online",48,7.5,"Intermediate Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub064_ToD_Online",37,5.5,"Evening Type","Night","Yes","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub065_ToD_Online",52,6.5,"Intermediate Type","Night","Yes","YA","Night",TRUE,1,TRUE,FALSE,1,FALSE,TRUE,1,TRUE,4
"Sub066_ToD_Online",56,7.5,"Intermediate Type","Morning","No","YA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub068_ToD_Online",57,7,"Intermediate Type","Morning","No","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub069_ToD_Online",44,6,"Intermediate Type","Night","Yes","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub070_ToD_Online",46,6,"Intermediate Type","Night","Yes","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
"Sub071_ToD_Online",57,8.5,"Intermediate Type","Morning","No","OA","Night",TRUE,1,TRUE,TRUE,2,TRUE,TRUE,1,TRUE,6
