"SubID","absavg_learning","minavg_learning","outlier_Learning_Age","absavg_recall","minavg_recall","outlier_Recall_Age","block","CorrectRecallOld","ForgetRecallOld","CorrectRecallNew","NewRecallOld","AgeGroup","ToD_Condition","Date","z_CorrectRecallOld","z_ForgetRecallOld","z_CorrectRecallNew","z_NewRecallOld","Outlier_Block_CorrectRecallOld","Outlier_Block_ForgetRecallOld","Outlier_Block_CorrectRecallNew","Outlier_Block_NewRecallOld","Outlier_Block_Any","Chance_CorrectRecallOverall","HitRate","FalseAlarmRate","RecognitionScore","z_HitRate","z_FalseAlarmRate","z_RecognitionScore","HR_outlier","FA_outlier","Rec_outlier"
"Sub002_ToD_Online",5.14705882352941,-0.205882352941176,FALSE,73.0882352941177,0.735294117647059,FALSE,"Overall",34,26,21,3,"YA","Morning","23/10/24",-1.32901809002881,1.37490053476297,-0.767039783240352,0.879820059598513,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.566666666666667,0.125,0.441666666666667,-1.19985323124361,1.6259250894792,-1.56384540371793,FALSE,FALSE,FALSE
"Sub003_ToD_Online",6.92592592592593,0.592592592592593,FALSE,29.4259259259259,-2.12962962962963,FALSE,"Overall",54,6,23,1,"OA","Night","23/10/24",0.826786654937712,-0.822043252127817,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9,0.0416666666666667,0.858333333333333,0.699962193036925,-0.167301122939874,0.674725358206428,FALSE,FALSE,FALSE
"Sub004_ToD_Online",6.26190476190476,-0.404761904761905,FALSE,42.2857142857143,-5.42857142857143,FALSE,"Overall",42,17,24,0,"OA","Night","23/10/24",-0.466696192042204,0.386275830662117,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.711864406779661,0,0.711864406779661,-0.566205116189158,-0.545069094657253,-0.13229752130853,FALSE,FALSE,FALSE
"Sub005_ToD_Online",7.14035087719298,-0.859649122807018,FALSE,15.1052631578947,-8.26315789473684,FALSE,"Overall",57,3,22,1,"OA","Morning","24/10/24",1.15015736668269,-1.15158482016143,-0.288953343001503,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.95,0.0434782608695652,0.906521739130435,1.03646611756097,-0.150876428517379,0.940236596123239,FALSE,FALSE,FALSE
"Sub006_ToD_Online",7.10344827586207,-1.79310344827586,FALSE,46.7586206896552,-12.8275862068966,FALSE,"Overall",29,29,22,1,"OA","Morning","24/10/24",-1.86796927627045,1.70444210279659,-0.288953343001503,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,0.0434782608695652,0.456521739130435,-1.99206920315547,-0.150876428517379,-1.53919917449842,FALSE,FALSE,FALSE
"Sub007_ToD_Online",35.8958333333333,13.1458333333333,FALSE,68.0833333333333,-14.0416666666667,FALSE,"Overall",48,12,22,1,"OA","Morning","24/10/24",0.180045231447754,-0.16296011606058,-0.288953343001503,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.0434782608695652,0.756521739130435,0.0269543439888272,-0.150876428517379,0.113758005916021,FALSE,FALSE,FALSE
"Sub008_ToD_Online",11.3863636363636,-4.38636363636364,FALSE,46.6363636363636,-0.227272727272727,FALSE,"Overall",44,16,22,2,"YA","Night","23/10/24",-0.251115717545551,0.276428641317577,-0.288953343001503,0.388632173564987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.733333333333333,0.0833333333333333,0.65,-0.130568820492633,0.809081317499091,-0.356975547118418,FALSE,FALSE,FALSE
"Sub009_ToD_Online",5.25,-1.47222222222222,FALSE,34.9722222222222,0.861111111111111,FALSE,"Overall",36,24,23,0,"YA","Night","23/10/24",-1.11343761553216,1.15520615607389,0.189133097237346,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6,0,0.6,-0.985996349093414,-0.824606226461121,-0.6466243127023,FALSE,FALSE,FALSE
"Sub010_ToD_Online",20.1818181818182,-1.85454545454545,FALSE,32.8,-0.545454545454545,FALSE,"Overall",55,5,21,3,"YA","Morning","24/10/24",0.934576892186038,-0.931890441472356,-0.767039783240352,0.879820059598513,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.916666666666667,0.125,0.791666666666667,1.04564403133344,1.6259250894792,0.463695955369249,FALSE,FALSE,FALSE
"Sub011_ToD_Online",8.28260869565217,1.3695652173913,FALSE,60.3478260869565,-16.2608695652174,FALSE,"Overall",46,13,23,1,"YA","Morning","24/10/24",-0.0355352430488987,-0.053112926716041,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.779661016949153,0.0416666666666667,0.737994350282486,0.16665599876696,-0.00776245448101521,0.152773551635139,FALSE,FALSE,FALSE
