"sub_id","AgeGroup","ToD_Condition","Date","block","absavg_recall","minavg_recall","outlier_Recall_Age"
"Sub017_ToD_Online","OA","Night","24/10/24","3",15.3,0.2,FALSE
"Sub018_ToD_Online","OA","Night","24/10/24","Overall",59,-15.0714285714286,FALSE
"Sub018_ToD_Online","OA","Night","24/10/24","1",74.5,-71.5,FALSE
"Sub018_ToD_Online","OA","Night","24/10/24","2",44.3,-2.9,FALSE
"Sub018_ToD_Online","OA","Night","24/10/24","3",63.5,3,FALSE
"Sub019_ToD_Online","OA","Night","24/10/24","Overall",32.2553191489362,4.59574468085106,FALSE
"Sub019_ToD_Online","OA","Night","24/10/24","1",29.0588235294118,8.70588235294118,FALSE
"Sub019_ToD_Online","OA","Night","24/10/24","2",46.5833333333333,4.41666666666667,FALSE
"Sub019_ToD_Online","OA","Night","24/10/24","3",25.7222222222222,0.833333333333333,FALSE
"Sub020_ToD_Online","YA","Morning","25/10/24","Overall",27.2631578947368,9.12280701754386,FALSE
"Sub020_ToD_Online","YA","Morning","25/10/24","1",22.7,-0.5,FALSE
"Sub020_ToD_Online","YA","Morning","25/10/24","2",31.4444444444444,12.7777777777778,FALSE
"Sub020_ToD_Online","YA","Morning","25/10/24","3",28.1052631578947,15.7894736842105,FALSE
"Sub021_ToD_Online","YA","Morning","25/10/24","Overall",31.1228070175439,-3.2280701754386,FALSE
"Sub021_ToD_Online","YA","Morning","25/10/24","1",51.3888888888889,-5.27777777777778,FALSE
"Sub021_ToD_Online","YA","Morning","25/10/24","2",33.6,-7.2,FALSE
"Sub021_ToD_Online","YA","Morning","25/10/24","3",9.31578947368421,2.89473684210526,FALSE
"Sub022_ToD_Online","YA","Morning","25/10/24","Overall",37.5,-0.852941176470588,FALSE
"Sub022_ToD_Online","YA","Morning","25/10/24","1",21.3333333333333,-1.46666666666667,FALSE
"Sub022_ToD_Online","YA","Morning","25/10/24","2",66.2,0.2,FALSE
"Sub022_ToD_Online","YA","Morning","25/10/24","3",32.5555555555556,-1,FALSE
"Sub023_ToD_Online","YA","Morning","25/10/24","Overall",35.1463414634146,1.63414634146341,FALSE
"Sub023_ToD_Online","YA","Morning","25/10/24","1",13.7692307692308,-2.07692307692308,FALSE
"Sub023_ToD_Online","YA","Morning","25/10/24","2",44.2307692307692,-10.3846153846154,FALSE
"Sub023_ToD_Online","YA","Morning","25/10/24","3",45.8,15.2666666666667,FALSE
"Sub024_ToD_Online","YA","Night","25/10/24","Overall",20.5,3.15384615384615,FALSE
"Sub024_ToD_Online","YA","Night","25/10/24","1",29.1,22.4,FALSE
"Sub024_ToD_Online","YA","Night","25/10/24","2",13.8333333333333,-4.61111111111111,FALSE
"Sub024_ToD_Online","YA","Night","25/10/24","3",16.7857142857143,-14.3571428571429,FALSE
"Sub025_ToD_Online","YA","Night","25/10/24","Overall",13.3728813559322,1.91525423728814,FALSE
"Sub025_ToD_Online","YA","Night","25/10/24","1",13.5263157894737,2.68421052631579,FALSE
"Sub025_ToD_Online","YA","Night","25/10/24","2",13.7,3.1,FALSE
"Sub025_ToD_Online","YA","Night","25/10/24","3",12.9,0,FALSE
"Sub026_ToD_Online","YA","Night","25/10/24","Overall",72.6060606060606,2.48484848484848,FALSE
