"sub_id","AgeGroup","ToD_Condition","Date","block","absavg_learning","minavg_learning","outlier_Learning_Age","absavg_recall","minavg_recall","outlier_Recall_Age"
"Sub001_ToD_Online","YA","Morning","23/10/24","1",88.8571428571429,34,TRUE,72.5714285714286,-4,FALSE
"Sub001_ToD_Online","YA","Morning","23/10/24","2",129.25,-41.75,TRUE,133.25,62.75,TRUE
"Sub001_ToD_Online","YA","Morning","23/10/24","3",122,40.6666666666667,TRUE,86,-59.3333333333333,FALSE
"Sub001_ToD_Online","YA","Morning","23/10/24","Overall",107.5,13.7857142857143,TRUE,92.7857142857143,3.21428571428571,FALSE
"Sub002_ToD_Online","YA","Morning","23/10/24","1",6.375,1.25,FALSE,62.9375,-12.6875,FALSE
"Sub002_ToD_Online","YA","Morning","23/10/24","2",4.09090909090909,-2.81818181818182,FALSE,70.2727272727273,43.9090909090909,FALSE
"Sub002_ToD_Online","YA","Morning","23/10/24","3",4,0.571428571428571,FALSE,100.714285714286,-36.4285714285714,FALSE
"Sub002_ToD_Online","YA","Morning","23/10/24","Overall",5.14705882352941,-0.205882352941176,FALSE,73.0882352941177,0.735294117647059,FALSE
"Sub003_ToD_Online","OA","Night","23/10/24","1",6,0.714285714285714,FALSE,44.6428571428571,-1.5,FALSE
"Sub003_ToD_Online","OA","Night","23/10/24","2",7,-0.6,FALSE,33.6,0.9,FALSE
"Sub003_ToD_Online","OA","Night","23/10/24","3",7.5,1.7,FALSE,14.6,-5.6,FALSE
"Sub003_ToD_Online","OA","Night","23/10/24","Overall",6.92592592592593,0.592592592592593,FALSE,29.4259259259259,-2.12962962962963,FALSE
"Sub004_ToD_Online","OA","Night","23/10/24","1",6.41666666666667,0.0833333333333333,FALSE,43,7.83333333333333,FALSE
"Sub004_ToD_Online","OA","Night","23/10/24","2",7.78571428571429,2.35714285714286,FALSE,54.4285714285714,6.28571428571429,FALSE
"Sub004_ToD_Online","OA","Night","23/10/24","3",4.8125,-3.1875,FALSE,31.125,-25.625,FALSE
"Sub004_ToD_Online","OA","Night","23/10/24","Overall",6.26190476190476,-0.404761904761905,FALSE,42.2857142857143,-5.42857142857143,FALSE
"Sub005_ToD_Online","OA","Morning","24/10/24","1",6.38888888888889,-0.944444444444444,FALSE,16.2777777777778,-9.38888888888889,FALSE
"Sub005_ToD_Online","OA","Morning","24/10/24","2",7.21052631578947,-0.789473684210526,FALSE,16.7894736842105,-12.2631578947368,FALSE
"Sub005_ToD_Online","OA","Morning","24/10/24","3",7.75,-0.85,FALSE,12.45,-3.45,FALSE
"Sub005_ToD_Online","OA","Morning","24/10/24","Overall",7.14035087719298,-0.859649122807018,FALSE,15.1052631578947,-8.26315789473684,FALSE
"Sub006_ToD_Online","OA","Morning","24/10/24","1",3.33333333333333,1,FALSE,37.5,-12.5,FALSE
"Sub006_ToD_Online","OA","Morning","24/10/24","2",9.5,-5,FALSE,46,-11.6666666666667,FALSE
"Sub006_ToD_Online","OA","Morning","24/10/24","3",6.54545454545455,0.181818181818182,FALSE,52.6363636363636,-14.2727272727273,FALSE
"Sub006_ToD_Online","OA","Morning","24/10/24","Overall",7.10344827586207,-1.79310344827586,FALSE,46.7586206896552,-12.8275862068966,FALSE
"Sub007_ToD_Online","OA","Morning","24/10/24","1",8.05555555555556,1.27777777777778,FALSE,51.2777777777778,-22.1666666666667,FALSE
"Sub007_ToD_Online","OA","Morning","24/10/24","2",40.8235294117647,9.52941176470588,FALSE,81.1176470588235,-27.5882352941176,FALSE
"Sub007_ToD_Online","OA","Morning","24/10/24","3",68,34.3076923076923,FALSE,74.3076923076923,14.9230769230769,FALSE
"Sub007_ToD_Online","OA","Morning","24/10/24","Overall",35.8958333333333,13.1458333333333,FALSE,68.0833333333333,-14.0416666666667,FALSE
"Sub008_ToD_Online","YA","Night","23/10/24","1",9.23076923076923,-4,FALSE,37.2307692307692,5.07692307692308,FALSE
"Sub008_ToD_Online","YA","Night","23/10/24","2",6.53846153846154,-0.230769230769231,FALSE,51,3,FALSE
"Sub008_ToD_Online","YA","Night","23/10/24","3",16.4444444444444,-7.66666666666667,FALSE,50.2777777777778,-6.38888888888889,FALSE
"Sub008_ToD_Online","YA","Night","23/10/24","Overall",11.3863636363636,-4.38636363636364,FALSE,46.6363636363636,-0.227272727272727,FALSE
"Sub009_ToD_Online","YA","Night","23/10/24","1",5.13333333333333,-2.33333333333333,FALSE,28.2666666666667,2.66666666666667,FALSE
"Sub009_ToD_Online","YA","Night","23/10/24","2",6.07692307692308,-0.0769230769230769,FALSE,39.3846153846154,11.2307692307692,FALSE
"Sub009_ToD_Online","YA","Night","23/10/24","3",4.125,-2.125,FALSE,40.375,-19.375,FALSE
"Sub009_ToD_Online","YA","Night","23/10/24","Overall",5.25,-1.47222222222222,FALSE,34.9722222222222,0.861111111111111,FALSE
"Sub010_ToD_Online","YA","Morning","24/10/24","1",15.2222222222222,-1.22222222222222,FALSE,34.3888888888889,-7.5,FALSE
"Sub010_ToD_Online","YA","Morning","24/10/24","2",18.3157894736842,-4.31578947368421,FALSE,28.8947368421053,3.94736842105263,FALSE
"Sub010_ToD_Online","YA","Morning","24/10/24","3",27.1111111111111,0.111111111111111,FALSE,35.3333333333333,1.66666666666667,FALSE
"Sub010_ToD_Online","YA","Morning","24/10/24","Overall",20.1818181818182,-1.85454545454545,FALSE,32.8,-0.545454545454545,FALSE
"Sub011_ToD_Online","YA","Morning","24/10/24","1",8.26666666666667,4,FALSE,56.6,-36.4666666666667,FALSE
"Sub011_ToD_Online","YA","Morning","24/10/24","2",10.1764705882353,-0.294117647058824,FALSE,72.2941176470588,24.4117647058824,FALSE
"Sub011_ToD_Online","YA","Morning","24/10/24","3",6,0.571428571428571,FALSE,49.8571428571429,-44,FALSE
"Sub011_ToD_Online","YA","Morning","24/10/24","Overall",8.28260869565217,1.3695652173913,FALSE,60.3478260869565,-16.2608695652174,FALSE
"Sub012_ToD_Online","YA","Night","24/10/24","1",4.4,0.3,FALSE,8.25,-2.75,FALSE
"Sub012_ToD_Online","YA","Night","24/10/24","2",3.45,-0.25,FALSE,24.1,4.1,FALSE
"Sub012_ToD_Online","YA","Night","24/10/24","3",4.61111111111111,1.83333333333333,FALSE,29.6666666666667,21.6666666666667,FALSE
"Sub012_ToD_Online","YA","Night","24/10/24","Overall",4.13793103448276,0.586206896551724,FALSE,20.3620689655172,7.18965517241379,FALSE
"Sub013_ToD_Online","YA","Night","24/10/24","1",7.0625,-4.5625,FALSE,46.25,-10.875,FALSE
"Sub013_ToD_Online","YA","Night","24/10/24","2",19.2352941176471,14.5294117647059,FALSE,61.7647058823529,18.8235294117647,FALSE
"Sub013_ToD_Online","YA","Night","24/10/24","3",6.625,0.75,FALSE,62.625,-27.625,FALSE
"Sub013_ToD_Online","YA","Night","24/10/24","Overall",11.1428571428571,3.79591836734694,FALSE,56.9795918367347,-6.04081632653061,FALSE
"Sub014_ToD_Online","YA","Night","24/10/24","1",6.73684210526316,0.842105263157895,FALSE,23.8947368421053,2.84210526315789,FALSE
"Sub014_ToD_Online","YA","Night","24/10/24","2",5,0.529411764705882,FALSE,24.7058823529412,-8.11764705882353,FALSE
"Sub014_ToD_Online","YA","Night","24/10/24","3",6.64285714285714,-1.64285714285714,FALSE,34.7857142857143,-17.7857142857143,FALSE
"Sub014_ToD_Online","YA","Night","24/10/24","Overall",6.12,0.04,FALSE,27.22,-6.66,FALSE
"Sub015_ToD_Online","YA","Night","24/10/24","1",9.42857142857143,4.71428571428571,FALSE,68.8571428571429,-23.5714285714286,FALSE
"Sub015_ToD_Online","YA","Night","24/10/24","2",10,-2.82352941176471,FALSE,78.5882352941177,17.5294117647059,FALSE
"Sub015_ToD_Online","YA","Night","24/10/24","3",5.46153846153846,-2.38461538461538,FALSE,39.6923076923077,15.2307692307692,FALSE
"Sub015_ToD_Online","YA","Night","24/10/24","Overall",8.47727272727273,-0.295454545454545,FALSE,64,3.77272727272727,FALSE
"Sub016_ToD_Online","OA","Night","24/10/24","1",9,1.5,FALSE,35.125,11,FALSE
"Sub016_ToD_Online","OA","Night","24/10/24","2",12.1875,8.5625,FALSE,49.8125,-17.5625,FALSE
"Sub016_ToD_Online","OA","Night","24/10/24","3",12,1.66666666666667,FALSE,66.2222222222222,-0.888888888888889,FALSE
"Sub016_ToD_Online","OA","Night","24/10/24","Overall",11.1,3.82,FALSE,51.02,-2.42,FALSE
"Sub017_ToD_Online","OA","Night","24/10/24","1",4.72222222222222,-3.61111111111111,FALSE,18.9444444444444,2.94444444444444,FALSE
"Sub017_ToD_Online","OA","Night","24/10/24","2",6.45,0.55,FALSE,21.95,9.35,FALSE
"Sub017_ToD_Online","OA","Night","24/10/24","3",7.45,-2.75,FALSE,15.3,0.2,FALSE
"Sub017_ToD_Online","OA","Night","24/10/24","Overall",6.25862068965517,-1.87931034482759,FALSE,18.7241379310345,4.20689655172414,FALSE
"Sub018_ToD_Online","OA","Night","24/10/24","1",11.8333333333333,-3.83333333333333,FALSE,74.5,-71.5,FALSE
"Sub018_ToD_Online","OA","Night","24/10/24","2",8.8,-6.4,FALSE,44.3,-2.9,FALSE
"Sub018_ToD_Online","OA","Night","24/10/24","3",8.83333333333333,-5.66666666666667,FALSE,63.5,3,FALSE
"Sub018_ToD_Online","OA","Night","24/10/24","Overall",9.46428571428571,-5.53571428571429,FALSE,59,-15.0714285714286,FALSE
"Sub019_ToD_Online","OA","Night","24/10/24","1",6.94117647058824,-0.470588235294118,FALSE,29.0588235294118,8.70588235294118,FALSE
"Sub019_ToD_Online","OA","Night","24/10/24","2",6.58333333333333,3.58333333333333,FALSE,46.5833333333333,4.41666666666667,FALSE
"Sub019_ToD_Online","OA","Night","24/10/24","3",9.44444444444444,-0.222222222222222,FALSE,25.7222222222222,0.833333333333333,FALSE
"Sub019_ToD_Online","OA","Night","24/10/24","Overall",7.80851063829787,0.659574468085106,FALSE,32.2553191489362,4.59574468085106,FALSE
"Sub020_ToD_Online","YA","Morning","25/10/24","1",3.85,-1.35,FALSE,22.7,-0.5,FALSE
"Sub020_ToD_Online","YA","Morning","25/10/24","2",5.16666666666667,-1.61111111111111,FALSE,31.4444444444444,12.7777777777778,FALSE
"Sub020_ToD_Online","YA","Morning","25/10/24","3",11.2105263157895,9.21052631578947,FALSE,28.1052631578947,15.7894736842105,FALSE
"Sub020_ToD_Online","YA","Morning","25/10/24","Overall",6.71929824561404,2.08771929824561,FALSE,27.2631578947368,9.12280701754386,FALSE
"Sub021_ToD_Online","YA","Morning","25/10/24","1",4.27777777777778,2.05555555555556,FALSE,51.3888888888889,-5.27777777777778,FALSE
