"sub_id","AgeGroup","ToD_Condition","Date","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3"
"Sub001_ToD_Online","YA","Morning","23/10/24",107.5,88.8571428571429,129.25,122,13.7857142857143,34,-41.75,40.6666666666667
"Sub002_ToD_Online","YA","Morning","23/10/24",5.14705882352941,6.375,4.09090909090909,4,-0.205882352941176,1.25,-2.81818181818182,0.571428571428571
"Sub003_ToD_Online","OA","Night","23/10/24",6.92592592592593,6,7,7.5,0.592592592592593,0.714285714285714,-0.6,1.7
"Sub004_ToD_Online","OA","Night","23/10/24",6.26190476190476,6.41666666666667,7.78571428571429,4.8125,-0.404761904761905,0.0833333333333333,2.35714285714286,-3.1875
"Sub005_ToD_Online","OA","Morning","24/10/24",7.14035087719298,6.38888888888889,7.21052631578947,7.75,-0.859649122807018,-0.944444444444444,-0.789473684210526,-0.85
"Sub006_ToD_Online","OA","Morning","24/10/24",7.10344827586207,3.33333333333333,9.5,6.54545454545455,-1.79310344827586,1,-5,0.181818181818182
"Sub007_ToD_Online","OA","Morning","24/10/24",35.8958333333333,8.05555555555556,40.8235294117647,68,13.1458333333333,1.27777777777778,9.52941176470588,34.3076923076923
"Sub008_ToD_Online","YA","Night","23/10/24",11.3863636363636,9.23076923076923,6.53846153846154,16.4444444444444,-4.38636363636364,-4,-0.230769230769231,-7.66666666666667
"Sub009_ToD_Online","YA","Night","23/10/24",5.25,5.13333333333333,6.07692307692308,4.125,-1.47222222222222,-2.33333333333333,-0.0769230769230769,-2.125
"Sub010_ToD_Online","YA","Morning","24/10/24",20.1818181818182,15.2222222222222,18.3157894736842,27.1111111111111,-1.85454545454545,-1.22222222222222,-4.31578947368421,0.111111111111111
"Sub011_ToD_Online","YA","Morning","24/10/24",8.28260869565217,8.26666666666667,10.1764705882353,6,1.3695652173913,4,-0.294117647058824,0.571428571428571
"Sub012_ToD_Online","YA","Night","24/10/24",4.13793103448276,4.4,3.45,4.61111111111111,0.586206896551724,0.3,-0.25,1.83333333333333
"Sub013_ToD_Online","YA","Night","24/10/24",11.1428571428571,7.0625,19.2352941176471,6.625,3.79591836734694,-4.5625,14.5294117647059,0.75
"Sub014_ToD_Online","YA","Night","24/10/24",6.12,6.73684210526316,5,6.64285714285714,0.04,0.842105263157895,0.529411764705882,-1.64285714285714
"Sub015_ToD_Online","YA","Night","24/10/24",8.47727272727273,9.42857142857143,10,5.46153846153846,-0.295454545454545,4.71428571428571,-2.82352941176471,-2.38461538461538
"Sub016_ToD_Online","OA","Night","24/10/24",11.1,9,12.1875,12,3.82,1.5,8.5625,1.66666666666667
"Sub017_ToD_Online","OA","Night","24/10/24",6.25862068965517,4.72222222222222,6.45,7.45,-1.87931034482759,-3.61111111111111,0.55,-2.75
"Sub018_ToD_Online","OA","Night","24/10/24",9.46428571428571,11.8333333333333,8.8,8.83333333333333,-5.53571428571429,-3.83333333333333,-6.4,-5.66666666666667
"Sub019_ToD_Online","OA","Night","24/10/24",7.80851063829787,6.94117647058824,6.58333333333333,9.44444444444444,0.659574468085106,-0.470588235294118,3.58333333333333,-0.222222222222222
"Sub020_ToD_Online","YA","Morning","25/10/24",6.71929824561404,3.85,5.16666666666667,11.2105263157895,2.08771929824561,-1.35,-1.61111111111111,9.21052631578947
"Sub021_ToD_Online","YA","Morning","25/10/24",4.50877192982456,4.27777777777778,4.4,4.84210526315789,1.35087719298246,2.05555555555556,0.5,1.57894736842105
"Sub022_ToD_Online","YA","Morning","25/10/24",8.11764705882353,5.13333333333333,15.8,4.55555555555556,4.94117647058824,3,9.8,2.77777777777778
"Sub023_ToD_Online","YA","Morning","25/10/24",6.53658536585366,7.30769230769231,8.53846153846154,4.13333333333333,0.146341463414634,-0.0769230769230769,1.46153846153846,-0.8
"Sub024_ToD_Online","YA","Night","25/10/24",4,3.8,4.88888888888889,3.14285714285714,-0.115384615384615,-1.9,1.44444444444444,0.428571428571429
"Sub025_ToD_Online","YA","Night","25/10/24",12.7118644067797,12.3157894736842,14.8,11,3.28813559322034,-0.315789473684211,7.1,2.9
"Sub026_ToD_Online","YA","Night","25/10/24",4.75757575757576,5.27272727272727,4.76923076923077,4.11111111111111,0.818181818181818,2,0.615384615384615,-0.333333333333333
"Sub027_ToD_Online","YA","Morning","26/10/24",2.91304347826087,2.05555555555556,4.375,2.25,-1.26086956521739,-0.388888888888889,-3.25,0.0833333333333333
"Sub028_ToD_Online","YA","Morning","26/10/34",7.91666666666667,6,7.92307692307692,9.66666666666667,-1.97222222222222,-3.63636363636364,-2.53846153846154,0.166666666666667
"Sub029_ToD_Online","YA","Morning","26/10/24",8.34883720930233,9.41176470588235,8.0625,7,-1.7906976744186,0.470588235294118,-3.9375,-2.2
"Sub030_ToD_Online","YA","Morning","27/10/24",13.4848484848485,19.4,12.8333333333333,8.81818181818182,-5.48484848484848,-10.8,-7.16666666666667,1.18181818181818
"Sub031_ToD_Online","YA","Morning","27/10/24",8.14893617021277,4.13333333333333,7.375,12.6875,4.06382978723404,1.33333333333333,5.375,5.3125
"Sub032_ToD_Online","YA","Morning","27/10/24",6.62857142857143,6.3,7.07692307692308,6.41666666666667,0.742857142857143,0.3,3.07692307692308,-1.41666666666667
"Sub033_ToD_Online","YA","Morning","27/10/24",6.23913043478261,6.61538461538461,5.64705882352941,6.5625,-0.673913043478261,-3.23076923076923,-1.41176470588235,2.1875
"Sub034_ToD_Online","YA","Morning","27/10/24",6.32758620689655,5.10526315789474,7.78947368421053,6.1,2.46551724137931,2.26315789473684,3.78947368421053,1.4
