"sub_id","AgeGroup","ToD_Condition","Date","absavg_recall_blockOverall","absavg_recall_block1","absavg_recall_block2","absavg_recall_block3","minavg_recall_blockOverall","minavg_recall_block1","minavg_recall_block2","minavg_recall_block3","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3","CorrectRecallOld_block1","CorrectRecallOld_block2","CorrectRecallOld_block3","CorrectRecallOld_blockOverall","ForgetRecallOld_block1","ForgetRecallOld_block2","ForgetRecallOld_block3","ForgetRecallOld_blockOverall","CorrectRecallNew_block1","CorrectRecallNew_block2","CorrectRecallNew_block3","CorrectRecallNew_blockOverall","NewRecallOld_block1","NewRecallOld_block2","NewRecallOld_block3","NewRecallOld_blockOverall"
"Sub001_ToD_Online","YA","Morning","23/10/24",92.7857142857143,72.5714285714286,133.25,86,3.21428571428571,-4,62.75,-59.3333333333333,107.5,88.8571428571429,129.25,122,13.7857142857143,34,-41.75,40.6666666666667,7,4,3,14,13,16,17,46,8,8,6,22,0,0,2,2
"Sub002_ToD_Online","YA","Morning","23/10/24",73.0882352941177,62.9375,70.2727272727273,100.714285714286,0.735294117647059,-12.6875,43.9090909090909,-36.4285714285714,5.14705882352941,6.375,4.09090909090909,4,-0.205882352941176,1.25,-2.81818181818182,0.571428571428571,16,11,7,34,4,9,13,26,8,8,5,21,0,1,2,3
"Sub003_ToD_Online","OA","Night","23/10/24",29.4259259259259,44.6428571428571,33.6,14.6,-2.12962962962963,-1.5,0.9,-5.6,6.92592592592593,6,7,7.5,0.592592592592593,0.714285714285714,-0.6,1.7,14,20,20,54,6,0,0,6,8,8,7,23,0,0,1,1
"Sub004_ToD_Online","OA","Night","23/10/24",42.2857142857143,43,54.4285714285714,31.125,-5.42857142857143,7.83333333333333,6.28571428571429,-25.625,6.26190476190476,6.41666666666667,7.78571428571429,4.8125,-0.404761904761905,0.0833333333333333,2.35714285714286,-3.1875,12,14,16,42,7,6,4,17,8,8,8,24,0,0,0,0
"Sub005_ToD_Online","OA","Morning","24/10/24",15.1052631578947,16.2777777777778,16.7894736842105,12.45,-8.26315789473684,-9.38888888888889,-12.2631578947368,-3.45,7.14035087719298,6.38888888888889,7.21052631578947,7.75,-0.859649122807018,-0.944444444444444,-0.789473684210526,-0.85,18,19,20,57,2,1,0,3,6,9,7,22,1,0,0,1
"Sub006_ToD_Online","OA","Morning","24/10/24",46.7586206896552,37.5,46,52.6363636363636,-12.8275862068966,-12.5,-11.6666666666667,-14.2727272727273,7.10344827586207,3.33333333333333,9.5,6.54545454545455,-1.79310344827586,1,-5,0.181818181818182,6,12,11,29,12,8,9,29,6,9,7,22,1,0,0,1
"Sub007_ToD_Online","OA","Morning","24/10/24",68.0833333333333,51.2777777777778,81.1176470588235,74.3076923076923,-14.0416666666667,-22.1666666666667,-27.5882352941176,14.9230769230769,35.8958333333333,8.05555555555556,40.8235294117647,68,13.1458333333333,1.27777777777778,9.52941176470588,34.3076923076923,18,17,13,48,2,3,7,12,7,9,6,22,0,0,1,1
"Sub008_ToD_Online","YA","Night","23/10/24",46.6363636363636,37.2307692307692,51,50.2777777777778,-0.227272727272727,5.07692307692308,3,-6.38888888888889,11.3863636363636,9.23076923076923,6.53846153846154,16.4444444444444,-4.38636363636364,-4,-0.230769230769231,-7.66666666666667,13,13,18,44,7,7,2,16,8,7,7,22,0,1,1,2
"Sub009_ToD_Online","YA","Night","23/10/24",34.9722222222222,28.2666666666667,39.3846153846154,40.375,0.861111111111111,2.66666666666667,11.2307692307692,-19.375,5.25,5.13333333333333,6.07692307692308,4.125,-1.47222222222222,-2.33333333333333,-0.0769230769230769,-2.125,15,13,8,36,5,7,12,24,7,9,7,23,0,0,0,0
"Sub010_ToD_Online","YA","Morning","24/10/24",32.8,34.3888888888889,28.8947368421053,35.3333333333333,-0.545454545454545,-7.5,3.94736842105263,1.66666666666667,20.1818181818182,15.2222222222222,18.3157894736842,27.1111111111111,-1.85454545454545,-1.22222222222222,-4.31578947368421,0.111111111111111,18,19,18,55,2,1,2,5,8,7,6,21,0,1,2,3
