"sub_id","AgeGroup","ToD_Condition","collected_by","outlier_Recall_Age","absavg_recall_blockOverall","absavg_recall_block1","absavg_recall_block2","absavg_recall_block3","minavg_recall_blockOverall","minavg_recall_block1","minavg_recall_block2","minavg_recall_block3","outlier_Learning_Age","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3","CorrectRecallOld_blockOverall","ForgetRecallOld_blockOverall","CorrectRecallNew_blockOverall","NewRecallOld_blockOverall"
"Sub001_ToD","YA","Night","Julia",FALSE,63.3404255319149,59.6875,83.1875,46.0666666666667,-13,14.4375,-47.5625,-5.4,FALSE,5.87234042553191,6,5.0625,6.6,-0.936170212765957,-3.125,1.5625,-1.26666666666667,47,13,18,6
"Sub003_ToD","YA","Night","Julia",FALSE,51.7017543859649,51.5263157894737,51.2105263157895,52.3684210526316,-7.98245614035088,-9.8421052631579,19.3157894736842,-33.4210526315789,FALSE,9.45614035087719,5.78947368421053,14.6842105263158,7.89473684210526,2.85964912280702,0.736842105263158,8.57894736842105,-0.736842105263158,57,3,24,0
"Sub005_ToD","OA","Morning","Julia",FALSE,23.4528301886792,26.5294117647059,18.8333333333333,25.1666666666667,-9.56603773584906,-13,-4.05555555555556,-11.8333333333333,FALSE,7.47169811320755,6.58823529411765,9.38888888888889,6.38888888888889,1.84905660377358,1.52941176470588,3.94444444444444,0.0555555555555556,53,7,24,0
"Sub006_ToD","YA","Night","Julia",FALSE,56.5454545454545,50.9333333333333,46.5333333333333,73.2857142857143,-7.59090909090909,-3.86666666666667,-22.4,4.28571428571429,FALSE,5.45454545454545,5.13333333333333,6.6,4.57142857142857,0.909090909090909,1.26666666666667,1,0.428571428571429,44,16,24,0
"Sub007_ToD","OA","Night","Julia",FALSE,17.65,27.85,10.55,14.55,4.68333333333333,13.55,2.05,-1.55,FALSE,12.3333333333333,16.35,11,9.65,-1.36666666666667,-3.35,-3.1,2.35,60,0,23,1
"Sub008_ToD","OA","Morning","Julia",FALSE,47.2280701754386,46.2777777777778,42.2,53.4210526315789,-8.03508771929824,2.5,-4.7,-21.5263157894737,FALSE,9.92982456140351,10.2222222222222,8.4,11.2631578947368,-1.75438596491228,2.88888888888889,-4.1,-3.68421052631579,57,3,19,5
"Sub009_ToD","YA","Night","Julia",FALSE,34.0357142857143,46.6,32.125,23,13.5357142857143,23.4,-7.875,20.8,FALSE,7.89285714285714,12,8.75,3.1,-5.46428571428571,-9.2,-6.75,-0.7,28,32,24,0
"Sub010_ToD","OA","Morning","Julia",FALSE,18.6981132075472,19.2857142857143,21.9473684210526,15.2,-1.75471698113208,9.57142857142857,-4.78947368421053,-6.8,FALSE,8.11320754716981,6,11.8947368421053,6,1.24528301886792,1.57142857142857,1.36842105263158,0.9,53,7,24,0
"Sub011_ToD","OA","Morning","Julia",FALSE,49.622641509434,40.2352941176471,51.6111111111111,56.5,0,2.11764705882353,-11.9444444444444,9.94444444444444,FALSE,7.07547169811321,4.64705882352941,9.22222222222222,7.22222222222222,-0.0943396226415094,-1.23529411764706,1.88888888888889,-1,53,7,20,4
"Sub012_ToD","OA","Night","Julia",FALSE,30.9454545454545,37.3333333333333,32.3684210526316,23.0555555555556,7.85454545454545,2.88888888888889,24.3684210526316,-4.61111111111111,FALSE,5.8,6.88888888888889,3.73684210526316,6.88888888888889,-0.854545454545454,-0.444444444444444,0.263157894736842,-2.44444444444444,55,5,24,0
"Sub013_ToD","YA","Morning","Julia",FALSE,12.6379310344828,9.5,9.05,20.1111111111111,-2.81034482758621,1.9,3.95,-15.5555555555556,FALSE,3.12068965517241,3.3,3.3,2.72222222222222,0.155172413793103,1.2,1,-1.94444444444444,58,2,24,0
"Sub014_ToD","YA","Morning","Julia",FALSE,30.26,26.4375,17.4117647058824,46.7058823529412,-16.5,-15.0625,10.2352941176471,-44.5882352941176,FALSE,5.74,4.875,6.76470588235294,5.52941176470588,-0.98,0.375,-1.35294117647059,-1.88235294117647,50,10,24,0
"Sub015_ToD","OA","Night","Julia",FALSE,25.5111111111111,32.4285714285714,27.4285714285714,18.2352941176471,-3.46666666666667,4.14285714285714,-18.8571428571429,2.94117647058824,FALSE,7.33333333333333,9.14285714285714,6.42857142857143,6.58823529411765,0.177777777777778,-0.714285714285714,1.71428571428571,-0.352941176470588,45,15,24,0
"Sub016_ToD","YA","Night","Julia",FALSE,33.188679245283,43.6111111111111,41.125,16.6315789473684,5.71698113207547,-13.9444444444444,21.75,10.8421052631579,FALSE,4.52830188679245,5.55555555555556,3.4375,4.47368421052632,-0.113207547169811,-0.888888888888889,-0.9375,1.31578947368421,53,7,23,1
"Sub017_ToD","OA","Morning","Julia",FALSE,48.7222222222222,45.1111111111111,35.3529411764706,64.1052631578947,2.42592592592593,-9.55555555555556,-7,22.2105263157895,FALSE,7.77777777777778,8,7.11764705882353,8.1578947368421,-1.40740740740741,-1.33333333333333,-0.176470588235294,-2.57894736842105,54,6,22,2
