"participant","absavg_learning","minavg_learning","outlier_Learning_Age","absavg_recall","minavg_recall","outlier_Recall_Age","block","CorrectRecallOld","ForgetRecallOld","CorrectRecallNew","NewRecallOld","AgeGroup","ToD_Condition","collected_by","z_CorrectRecallOld","z_ForgetRecallOld","z_CorrectRecallNew","z_NewRecallOld","Outlier_Block_CorrectRecallOld","Outlier_Block_ForgetRecallOld","Outlier_Block_CorrectRecallNew","Outlier_Block_NewRecallOld","Outlier_Block_Any","Chance_CorrectRecallOverall","HitRate","FalseAlarmRate","RecognitionScore","z_HitRate","z_FalseAlarmRate","z_RecognitionScore","HR_outlier","FA_outlier","Rec_outlier"
"Sub001_ToD",5.87234042553191,-0.936170212765957,FALSE,63.3404255319149,-13,FALSE,"Overall",47,13,18,6,"YA","Night","Julia",0.021521706090166,-0.0215217060901661,-3.45190238450075,3.45190238450075,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.783333333333333,0.25,0.533333333333333,0.0215217060901662,3.45190238450075,-1.17549378355307,FALSE,TRUE,FALSE
"Sub003_ToD",9.45614035087719,2.85964912280702,FALSE,51.7017543859649,-7.98245614035088,FALSE,"Overall",57,3,24,0,"YA","Night","Julia",1.04380274537305,-1.04380274537305,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.95,0,0.95,1.04380274537305,-0.72334293998822,1.23512487672845,FALSE,FALSE,FALSE
"Sub005_ToD",7.47169811320755,1.84905660377358,FALSE,23.4528301886792,-9.56603773584906,FALSE,"Overall",53,7,24,0,"OA","Morning","Julia",0.378310442857728,-0.378310442857728,0.750351714879722,-0.750351714879723,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.883333333333333,0,0.883333333333333,0.378310442857728,-0.750351714879723,0.595646810032383,FALSE,FALSE,FALSE
"Sub006_ToD",5.45454545454545,0.909090909090909,FALSE,56.5454545454545,-7.59090909090909,FALSE,"Overall",44,16,24,0,"YA","Night","Julia",-0.285162605694701,0.2851626056947,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.733333333333333,0,0.733333333333333,-0.285162605694701,-0.72334293998822,-0.018396826617938,FALSE,FALSE,FALSE
"Sub007_ToD",12.3333333333333,-1.36666666666667,FALSE,17.65,4.68333333333333,FALSE,"Overall",60,0,23,1,"OA","Night","Julia",1.21281877269095,-1.21281877269095,-0.0422733360495629,0.0422733360495619,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.0416666666666667,0.958333333333333,1.21281877269095,0.0422733360495619,1.07947544634028,FALSE,FALSE,FALSE
"Sub008_ToD",9.92982456140351,-1.75438596491228,FALSE,47.2280701754386,-8.03508771929824,FALSE,"Overall",57,3,19,5,"OA","Morning","Julia",0.85517234561957,-0.85517234561957,-3.2127735397667,3.2127735397667,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.95,0.208333333333333,0.741666666666667,0.85517234561957,3.2127735397667,-0.318251725215859,FALSE,TRUE,FALSE
"Sub009_ToD",7.89285714285714,-5.46428571428571,FALSE,34.0357142857143,13.5357142857143,FALSE,"Overall",28,32,24,0,"YA","Night","Julia",-1.92081226854732,1.92081226854732,0.723342939988221,-0.72334293998822,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.466666666666667,0,0.466666666666667,-1.92081226854732,-0.72334293998822,-1.56119276919811,FALSE,FALSE,FALSE
"Sub010_ToD",8.11320754716981,1.24528301886792,FALSE,18.6981132075472,-1.75471698113208,FALSE,"Overall",53,7,24,0,"OA","Morning","Julia",0.378310442857728,-0.378310442857728,0.750351714879722,-0.750351714879723,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.883333333333333,0,0.883333333333333,0.378310442857728,-0.750351714879723,0.595646810032383,FALSE,FALSE,FALSE
"Sub011_ToD",7.07547169811321,-0.0943396226415094,FALSE,49.622641509434,0,FALSE,"Overall",53,7,20,4,"OA","Morning","Julia",0.378310442857728,-0.378310442857728,-2.42014848883742,2.42014848883742,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.883333333333333,0.166666666666667,0.716666666666667,0.378310442857728,2.42014848883742,-0.479527937318489,FALSE,FALSE,FALSE
"Sub012_ToD",5.8,-0.854545454545454,FALSE,30.9454545454545,7.85454545454545,FALSE,"Overall",55,5,24,0,"OA","Night","Julia",0.616741394238649,-0.616741394238649,0.750351714879722,-0.750351714879723,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.916666666666667,0,0.916666666666667,0.616741394238649,-0.750351714879723,0.810681759502557,FALSE,FALSE,FALSE
