"sub_id","AgeGroup","ToD_Condition","collected_by","block","absavg_recall","minavg_recall","outlier_Recall_Age"
"Sub020_ToD","OA","Morning","Julia","3",8.64705882352941,-3.70588235294118,FALSE
"Sub021_ToD","YA","Night","Julia","Overall",29.0175438596491,2.42105263157895,FALSE
"Sub021_ToD","YA","Night","Julia","1",39.7368421052632,6.78947368421053,FALSE
"Sub021_ToD","YA","Night","Julia","2",22.0555555555556,10.3888888888889,FALSE
"Sub021_ToD","YA","Night","Julia","3",25.1,-8.9,FALSE
"Sub022_ToD","YA","Night","Julia","Overall",26.5686274509804,-11,FALSE
"Sub022_ToD","YA","Night","Julia","1",34.6666666666667,-24.6666666666667,FALSE
"Sub022_ToD","YA","Night","Julia","2",15.4117647058824,-8.11764705882353,FALSE
"Sub022_ToD","YA","Night","Julia","3",29.3125,1.3125,FALSE
"Sub023_ToD","YA","Night","Julia","Overall",31.6666666666667,-10.5111111111111,FALSE
"Sub023_ToD","YA","Night","Julia","1",22.3333333333333,-1.26666666666667,FALSE
"Sub023_ToD","YA","Night","Julia","2",44.1875,-27.8125,FALSE
"Sub023_ToD","YA","Night","Julia","3",27.3571428571429,-0.642857142857143,FALSE
"Sub024_ToD","YA","Night","Julia","Overall",36.0681818181818,3.47727272727273,FALSE
"Sub024_ToD","YA","Night","Julia","1",47.9333333333333,7.13333333333333,FALSE
"Sub024_ToD","YA","Night","Julia","2",25.5625,-8.8125,FALSE
"Sub024_ToD","YA","Night","Julia","3",35.3076923076923,14.3846153846154,FALSE
"Sub025_ToD","OA","Morning","Julia","Overall",24.7708333333333,15.8958333333333,FALSE
"Sub025_ToD","OA","Morning","Julia","1",37.7692307692308,37.7692307692308,FALSE
"Sub025_ToD","OA","Morning","Julia","2",20.7058823529412,6,FALSE
"Sub025_ToD","OA","Morning","Julia","3",19.2222222222222,9.44444444444444,FALSE
"Sub026_ToD","YA","Morning","Julia","Overall",44.9074074074074,11.1296296296296,FALSE
"Sub026_ToD","YA","Morning","Julia","1",25,18.6666666666667,FALSE
"Sub026_ToD","YA","Morning","Julia","2",59.1578947368421,10.5263157894737,FALSE
"Sub026_ToD","YA","Morning","Julia","3",50.0588235294118,3.82352941176471,FALSE
"Sub027_ToD","OA","Night","Julia","Overall",30.3035714285714,-7.375,FALSE
"Sub027_ToD","OA","Night","Julia","1",38.5789473684211,-7.94736842105263,FALSE
"Sub027_ToD","OA","Night","Julia","2",28.75,-2.45,FALSE
"Sub027_ToD","OA","Night","Julia","3",22.8823529411765,-12.5294117647059,FALSE
"Sub028_ToD","OA","Night","Julia","Overall",69.6428571428571,1.14285714285714,FALSE
"Sub028_ToD","OA","Night","Julia","1",80.5555555555556,-13.3333333333333,FALSE
"Sub028_ToD","OA","Night","Julia","2",76.2222222222222,11.5555555555556,FALSE
"Sub028_ToD","OA","Night","Julia","3",53.9,4.8,FALSE
