"sub_id","AgeGroup","ToD_Condition","collected_by","block","absavg_learning","minavg_learning","outlier_Learning_Age"
"Sub020_ToD","OA","Morning","Julia","3",6.70588235294118,2.94117647058824,FALSE
"Sub021_ToD","YA","Night","Julia","Overall",6.7719298245614,-2.7719298245614,FALSE
"Sub021_ToD","YA","Night","Julia","1",6.31578947368421,-3.68421052631579,FALSE
"Sub021_ToD","YA","Night","Julia","2",5.61111111111111,-0.611111111111111,FALSE
"Sub021_ToD","YA","Night","Julia","3",8.25,-3.85,FALSE
"Sub022_ToD","YA","Night","Julia","Overall",4.74509803921569,0,FALSE
"Sub022_ToD","YA","Night","Julia","1",5,-0.555555555555556,FALSE
"Sub022_ToD","YA","Night","Julia","2",3.35294117647059,1.35294117647059,FALSE
"Sub022_ToD","YA","Night","Julia","3",5.9375,-0.8125,FALSE
"Sub023_ToD","YA","Night","Julia","Overall",5.86666666666667,-1.06666666666667,FALSE
"Sub023_ToD","YA","Night","Julia","1",5.8,-2.6,FALSE
"Sub023_ToD","YA","Night","Julia","2",6.1875,-1.0625,FALSE
"Sub023_ToD","YA","Night","Julia","3",5.57142857142857,0.571428571428571,FALSE
"Sub024_ToD","YA","Night","Julia","Overall",5.88636363636364,0.431818181818182,FALSE
"Sub024_ToD","YA","Night","Julia","1",3.53333333333333,1.53333333333333,FALSE
"Sub024_ToD","YA","Night","Julia","2",6.0625,2.6875,FALSE
"Sub024_ToD","YA","Night","Julia","3",8.38461538461539,-3.61538461538462,FALSE
"Sub025_ToD","OA","Morning","Julia","Overall",4.02083333333333,-1.60416666666667,FALSE
"Sub025_ToD","OA","Morning","Julia","1",3.23076923076923,-1.07692307692308,FALSE
"Sub025_ToD","OA","Morning","Julia","2",4.64705882352941,-2.05882352941176,FALSE
"Sub025_ToD","OA","Morning","Julia","3",4,-1.55555555555556,FALSE
"Sub026_ToD","YA","Morning","Julia","Overall",6.2037037037037,-1.2037037037037,FALSE
"Sub026_ToD","YA","Morning","Julia","1",6.27777777777778,0.277777777777778,FALSE
"Sub026_ToD","YA","Morning","Julia","2",4.78947368421053,-2.36842105263158,FALSE
"Sub026_ToD","YA","Morning","Julia","3",7.70588235294118,-1.47058823529412,FALSE
"Sub027_ToD","OA","Night","Julia","Overall",6.33928571428571,-2.48214285714286,FALSE
"Sub027_ToD","OA","Night","Julia","1",7.52631578947368,-3.21052631578947,FALSE
"Sub027_ToD","OA","Night","Julia","2",5.6,-1.7,FALSE
"Sub027_ToD","OA","Night","Julia","3",5.88235294117647,-2.58823529411765,FALSE
"Sub028_ToD","OA","Night","Julia","Overall",13.1964285714286,-2.98214285714286,FALSE
"Sub028_ToD","OA","Night","Julia","1",14.2777777777778,-3.27777777777778,FALSE
"Sub028_ToD","OA","Night","Julia","2",14.8888888888889,-3.77777777777778,FALSE
"Sub028_ToD","OA","Night","Julia","3",10.7,-2,FALSE
"Sub029_ToD","OA","Night","Julia","Overall",5.2962962962963,-1.2962962962963,FALSE
