"SubjectID","AgeGroup","ToD_Condition","Imm_Delay","obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","collected_by"
"Sub001_ToD","YA","Night",1,"hammer1_tr.png",229,229,-0.166085051,-0.144375532,4.0988,37,-0.160945243,-0.150083867,"Bckg138.jpg",237,118,120,3,1,1,102,237,139,321,245,237,"hammer1_tr.png",1,227,227,3.3638,1,1.3459,1,0.4686,"Julia"
"Sub001_ToD","YA","Night",1,"highheel1_tr.png",128,128,0.173413468,-0.13548545,1.7567,37,0.213527983,-0.053238506,"Bckg57.jpg",128,77,92,3,1,1,92,128,108,34,194,128,"highheel1_tr.png",1,104,104,1.5714,1,1.1245,1,0.3203,"Julia"
"Sub001_ToD","YA","Night",1,"loaf1_tr.png",469,109,0.208075404,-0.071646107,2.5281,37,-0.116616603,-0.186625577,"Bckg90.jpg",101,25,110,3,1,1,119,101,357,138,325,101,"loaf1_tr.png",1,212,212,1.8448,1,1.0851,1,0.4739,"Julia"
"Sub001_ToD","YA","Night",1,"mouthwash1_tr.png",-5,355,-0.019179915,0.219227437,3.3147,37,-0.015350948,0.219528783,"Bckg109.jpg",352,100,90,3,1,1,118,352,115,250,226,352,"mouthwash1_tr.png",1,356,356,2.6371,1,1.4601,1,0.5153,"Julia"
"Sub001_ToD","YA","Night",1,"oven1_tr.png",475,115,0.199446487,-0.093003424,3.8464,37,0.078864189,0.205448237,"Bckg55.jpg",111,9,75,2,1,1,54,111,305,27,70,111,"oven1_tr.png",1,21,21,2.1418,1,1.7553,2,0.7663,"Julia"
"Sub001_ToD","YA","Night",1,"partyhats1_tr.png",421,61,0.192473055,0.106689556,4.4025,37,0.184561913,0.119855908,"Bckg110.jpg",52,18,25,1,1,1,4,52,175,231,196,52,"partyhats1_tr.png",1,417,57,4.2682,1,4.7728,1,0.9867,"Julia"
"Sub001_ToD","YA","Night",1,"pickle1_tr.png",147,147,0.119855908,-0.184561913,2.98,37,-0.129350873,0.178036204,"Bckg66.jpg",150,83,33,1,1,1,33,150,65,78,256,150,"pickle1_tr.png",1,-36,324,4.1135,1,1.53,1,0.7311,"Julia"
"Sub001_ToD","YA","Night",1,"pizza1_tr.png",25,25,0.093003424,0.199446487,4.3142,37,0.056956974,0.212566322,"Bckg83.jpg",31,80,24,1,1,1,26,31,153,237,175,31,"pizza1_tr.png",1,375,15,2.3371,1,3.2571,2,4.2476,"Julia"
"Sub001_ToD","YA","Night",1,"pokerchips1_tr.png",15,15,0.056956974,0.212566322,2.8504,37,-0.019179915,0.219227437,"Bckg127.jpg",11,88,10,1,1,1,22,11,51,229,63,11,"pokerchips1_tr.png",1,-5,355,4.8851,1,1.3143,1,0.6032,"Julia"
"Sub001_ToD","YA","Night",1,"present1_tr.png",183,183,-0.011517304,-0.219763259,3.9522,37,-0.045754055,-0.215255905,"Bckg121.jpg",184,46,65,2,1,1,52,184,45,118,188,184,"present1_tr.png",1,192,192,2.1022,1,1.5549,1,0.4181,"Julia"
