obj1,locresp1,locresp1_adj,respposX1,respposY1,Learning_Loc_Test_rt,condnum,respposX2,respposY2,backgr,obj1loc,TrialID,StudyTrialNum,block,testObj1,testObj1Feat1,TestPracTrialNum,testObj1Feat1TargetVal,testObj1LocStartVal1,testObj1LocStartVal2,testObj1LocStartVal3,testObj1LocTargetVal,testObj1Target,testObj1Foil,testObj1FCOrder,testObj1FCleftItem,testObj1FCrightItem,OldImages,locresp2,locresp2_adj,Recall_Loc_Test_rt,Old_New_Test,Old_New_Test_rt,Remember_Test,Remember_Test_rt,Imm_Delay,SubID,AgeGroup,ToD_Condition
apple1_tr.png,463,103,0.246428274,-0.05689245,3.827,108,[],[],Bckg81.jpg,114,62,99,3,1,1,97,114,347,32,264,114,apple1_tr.png,NA,0,Target,Foil,1,32,32,0.8747,1,0.7904,1,0.9013,1,Sub048_ToD_Online,OA,Night
bandaid1_tr.png,235,235,-0.20717203,-0.145063417,4.6486,108,[],[],Bckg45.jpg,246,107,3,1,1,1,6,246,143,243,11,246,bandaid1_tr.png,NA,1,Foil,Target,1,243,243,1.7843,1,1.6152,1,0.6345,1,Sub048_ToD_Online,OA,Night
bottleofwine1_tr.png,57,57,0.212108467,0.137744849,2.1873,108,[],[],Bckg29.jpg,126,71,109,3,1,1,81,126,55,131,270,126,bottleofwine1_tr.png,NA,1,Foil,Target,1,131,131,0.7033,1,1.0839,2,0.8202,1,Sub048_ToD_Online,OA,Night
bowlingpin1_tr.png,291,291,-0.236112152,0.090634964,3.2999,108,[],[],Bckg34.jpg,301,48,83,3,1,1,107,301,219,51,324,301,bowlingpin1_tr.png,NA,1,Foil,Target,1,51,51,1.0629,1,1.0899,1,0.7825,1,Sub048_ToD_Online,OA,Night
bowls1_tr.png,424,64,0.227314317,0.1108686,5.5538,108,[],[],Bckg103.jpg,76,79,96,3,1,1,120,76,238,207,139,76,bowls1_tr.png,NA,0,Target,Foil,1,207,207,0.8789,1,0.8277,1,0.9037,1,Sub048_ToD_Online,OA,Night
boxinggloves1_tr.png,271,271,-0.252871831,0.004413894,3.5553,108,[],[],Bckg131.jpg,276,95,47,2,1,1,59,276,159,125,149,276,boxinggloves1_tr.png,NA,0,Target,Foil,1,125,125,2.4499,1,0.9678,2,1.535,1,Sub048_ToD_Online,OA,Night
cakemixer1_tr.png,246,246,-0.231045101,-0.102867907,3.8838,108,[],[],Bckg12.jpg,255,117,119,3,1,1,105,255,108,314,330,255,cakemixer1_tr.png,NA,0,Target,Foil,1,314,314,0.6133,1,1.2963,2,1.1691,1,Sub048_ToD_Online,OA,Night
clock1_tr.png,128,128,[],[],1.0322,108,[],[],Bckg137.jpg,133,76,118,3,1,1,90,133,128,1,280,133,clock1_tr.png,NA,0,Target,Foil,1,1,1,0.814,1,0.9626,2,0.7147,1,Sub048_ToD_Online,OA,Night
coffeemug1_tr.png,309,309,-0.196548257,0.15916164,3.1506,108,[],[],Bckg20.jpg,325,70,25,1,1,1,22,325,253,113,22,325,coffeemug1_tr.png,NA,1,Foil,Target,1,113,113,1.901,1,3.4069,1,0.9042,1,Sub048_ToD_Online,OA,Night
coke1_tr.png,-27,333,-0.114818896,0.225344772,3.4129,108,[],[],Bckg78.jpg,322,74,36,1,1,1,21,322,31,323,307,322,coke1_tr.png,NA,1,Foil,Target,1,323,323,7.072,1,3.4465,2,1.5269,1,Sub048_ToD_Online,OA,Night
