obj1,locresp1,locresp1_adj,respposX1,respposY1,Learning_Loc_Test_rt,condnum,respposX2,respposY2,backgr,obj1loc,TrialID,StudyTrialNum,block,testObj1,testObj1Feat1,TestPracTrialNum,testObj1Feat1TargetVal,testObj1LocStartVal1,testObj1LocStartVal2,testObj1LocStartVal3,testObj1LocTargetVal,testObj1Target,testObj1Foil,testObj1FCOrder,testObj1FCleftItem,testObj1FCrightItem,OldImages,locresp2,locresp2_adj,Recall_Loc_Test_rt,Old_New_Test,Old_New_Test_rt,Remember_Test,Remember_Test_rt,Imm_Delay,SubID,AgeGroup,ToD_Condition
abacus1_tr.png,-57,303,-0.124694068,0.080977275,3.5504,39,-0.128761203,0.074340315,Bckg135.jpg,299,41,57,2,1,1,59,299,113,108,23,299,abacus1_tr.png,NA,1,Foil,Target,1,300,300,3.9086,1,0.6821,1,0.3216,1,Sub084_ToD_Online,YA,Night
airfreshener1_tr.png,-4,356,-0.010371436,0.148318451,5.1472,39,0.012958371,0.148114855,Bckg42.jpg,2,91,119,3,1,1,91,2,156,345,88,2,airfreshener1_tr.png,NA,1,Foil,Target,1,365,5,0.8334,1,0.866,1,0.2728,1,Sub084_ToD_Online,YA,Night
apple1_tr.png,479,119,0.130039009,-0.0720818,2.7503,39,0.128761203,-0.074340315,Bckg81.jpg,114,62,65,2,1,1,79,114,347,32,264,114,apple1_tr.png,NA,0,Target,Foil,1,120,120,2.0704,1,0.9559,1,0.1022,1,Sub084_ToD_Online,YA,Night
bandaid1_tr.png,259,259,-0.145948948,-0.028369602,2.7717,39,-0.115546551,0.093567752,Bckg45.jpg,246,107,108,3,1,1,87,246,143,243,11,246,bandaid1_tr.png,NA,1,Foil,Target,1,309,309,2.0846,1,1.0945,2,0.0897,1,Sub084_ToD_Online,YA,Night
bathingsuit1_tr.png,311,311,[],[],0.8836,39,-0.112210696,0.09754327,Bckg19.jpg,288,65,10,1,1,1,37,288,311,51,176,288,bathingsuit1_tr.png,NA,0,Target,Foil,1,-49,311,2.5336,1,1.3387,1,1.1671,1,Sub084_ToD_Online,YA,Night
bathroomscale1_tr.png,231,231,-0.115546551,-0.093567752,1.0806,39,0.007781343,0.148476868,Bckg17.jpg,226,17,45,2,1,1,55,226,235,285,318,226,bathroomscale1_tr.png,NA,0,Target,Foil,1,363,3,2.1506,1,0.9003,2,0.1732,1,Sub084_ToD_Online,YA,Night
bike1_tr.png,127,127,0.118741631,-0.089478237,2.953,39,0.136861242,-0.05809415,Bckg39.jpg,135,2,35,1,1,1,39,135,209,107,240,135,bike1_tr.png,NA,0,Target,Foil,1,113,113,1.8835,1,0.8751,1,0.8434,1,Sub084_ToD_Online,YA,Night
binder1_tr.png,96,96,0.147866142,-0.015541358,4.0666,39,0.14723368,0.020692344,Bckg82.jpg,91,21,105,3,1,1,111,91,236,320,312,91,binder1_tr.png,NA,1,Foil,Target,1,442,82,2.6497,1,0.7096,1,0.0384,1,Sub084_ToD_Online,YA,Night
bottleofwine1_tr.png,135,135,0.105133082,-0.105133082,2.2157,39,0.053282373,0.138805326,Bckg29.jpg,126,71,63,2,1,1,47,126,55,131,270,126,bottleofwine1_tr.png,NA,1,Foil,Target,1,21,21,2.4661,1,1.2401,2,0.6515,1,Sub084_ToD_Online,YA,Night
bowlingpin1_tr.png,313,313,-0.108738129,0.101399946,2.4005,39,0.105133082,-0.105133082,Bckg34.jpg,301,48,64,2,1,1,76,301,219,51,324,301,bowlingpin1_tr.png,NA,1,Foil,Target,1,-225,135,5.0893,1,1.1825,2,0.9804,1,Sub084_ToD_Online,YA,Night
