obj1,locresp1,locresp1_adj,respposX1,respposY1,Learning_Loc_Test_rt,condnum,respposX2,respposY2,backgr,obj1loc,TrialID,StudyTrialNum,block,testObj1,testObj1Feat1,TestPracTrialNum,testObj1Feat1TargetVal,testObj1LocStartVal1,testObj1LocStartVal2,testObj1LocStartVal3,testObj1LocTargetVal,testObj1Target,testObj1Foil,testObj1FCOrder,testObj1FCleftItem,testObj1FCrightItem,OldImages,locresp2,locresp2_adj,Recall_Loc_Test_rt,Old_New_Test,Old_New_Test_rt,Remember_Test,Remember_Test_rt,Imm_Delay,SubID,AgeGroup,ToD_Condition
abacus1_tr.png,295,295,-0.207186202,0.096612512,7.221,169,-0.205468525,0.100213696,Bckg135.jpg,299,41,14,1,1,1,15,299,113,108,23,299,abacus1_tr.png,NA,1,Foil,Target,1,296,296,7.299,1,1.647,1,0.75,1,Sub045_ToD_Online,OA,Morning
airfreshener1_tr.png,-2,358,-0.007978188,0.22846542,6.238,169,-0.003989702,0.228569862,Bckg42.jpg,2,91,117,3,1,1,119,2,156,345,88,2,airfreshener1_tr.png,NA,1,Foil,Target,1,359,359,3.985,1,1.669,1,0.533,1,Sub045_ToD_Online,OA,Morning
apple1_tr.png,473,113,0.210431717,-0.089322965,5.381,169,0.214818131,-0.078187405,Bckg81.jpg,114,62,106,3,1,1,117,114,347,32,264,114,apple1_tr.png,NA,0,Target,Foil,1,110,110,4.529,1,1.517,1,0.718,1,Sub045_ToD_Online,OA,Morning
asparagus1_tr.png,266,266,-0.22804781,-0.015946656,4.715,169,-0.228291385,0.011964245,Bckg134.jpg,263,47,55,2,1,1,52,263,290,137,190,263,asparagus1_tr.png,NA,0,Target,Foil,1,-87,273,7.481,1,1.462,1,1.703,1,Sub045_ToD_Online,OA,Morning
banana1_tr.png,401,41,0.149978164,0.172530142,5.835,169,0.070642731,0.217415971,Bckg93.jpg,44,114,30,1,1,1,36,44,233,78,338,44,banana1_tr.png,NA,0,Target,Foil,1,18,18,10.864,1,2.211,2,1.257,1,Sub045_ToD_Online,OA,Morning
bed1_tr.png,248,248,-0.21195856800000001,-0.08563682,4.166,169,-0.213420855,-0.08192459,Bckg77.jpg,245,120,74,2,1,1,78,245,138,143,160,245,bed1_tr.png,NA,1,Foil,Target,1,-111,249,9.417,1,1.609,1,0.571,1,Sub045_ToD_Online,OA,Morning
binder1_tr.png,90,90,0.22860468,0,7.933,169,0.22860468,5.5992e-17,Bckg82.jpg,91,21,112,3,1,1,110,91,236,320,312,91,binder1_tr.png,NA,1,Foil,Target,1,450,90,5.85,1,1.832,1,0.517,1,Sub045_ToD_Online,OA,Morning
bottleofwine1_tr.png,117,117,0.203688261,-0.103784353,5.315,169,0.167190879,-0.155908017,Bckg29.jpg,126,71,114,3,1,1,85,126,55,131,270,126,bottleofwine1_tr.png,NA,1,Foil,Target,1,133,133,3.269,1,2.718,1,0.798,1,Sub045_ToD_Online,OA,Morning
bow1_tr.png,159,159,0.08192459,-0.213420855,5.936,169,0.103784353,-0.203688261,Bckg54.jpg,172,67,97,3,1,1,105,172,311,5,258,172,bow1_tr.png,NA,0,Target,Foil,1,153,153,5.197,1,1.502,1,0.536,1,Sub045_ToD_Online,OA,Morning
bowlingpin1_tr.png,309,309,-0.177659204,0.143865587,4.665,169,-0.182571815,0.137577731,Bckg34.jpg,301,48,36,1,1,1,39,301,219,51,324,301,bowlingpin1_tr.png,NA,1,Foil,Target,1,-53,307,5.138,1,1.414,1,1.033,1,Sub045_ToD_Online,OA,Morning
boxinggloves1_tr.png,-85,275,-0.22773477,0.019924211,8.752,169,-0.220815164,0.059167245,Bckg131.jpg,276,95,59,2,1,1,54,276,159,125,149,276,boxinggloves1_tr.png,NA,0,Target,Foil,1,-75,285,6.782,1,1.394,1,0.703,1,Sub045_ToD_Online,OA,Morning
clock1_tr.png,130,130,0.175121345,-0.146944256,4.299,169,0.137577731,-0.182571815,Bckg137.jpg,133,76,72,2,1,1,45,133,128,1,280,133,clock1_tr.png,NA,0,Target,Foil,1,143,143,4.8,1,1.58,1,0.668,1,Sub045_ToD_Online,OA,Morning
coat1_tr.png,453,93,0.228291385,-0.011964245,5.368,169,0.22773477,0.019924211,Bckg108.jpg,94,102,27,1,1,1,26,94,309,13,198,94,coat1_tr.png,NA,0,Target,Foil,1,85,85,4.182,1,2.554,1,0.807,1,Sub045_ToD_Online,OA,Morning
coffeemug1_tr.png,327,327,-0.124507032,0.191724017,5.571,169,-0.161647919,0.161647919,Bckg20.jpg,325,70,101,3,1,1,103,325,253,113,22,325,coffeemug1_tr.png,NA,1,Foil,Target,1,-45,315,9.03,1,1.861,2,0.568,1,Sub045_ToD_Online,OA,Morning
cookie1_tr.png,214,214,-0.127834115,-0.189521869,5.231,169,-0.043619829,-0.224404568,Bckg1.jpg,196,109,45,2,1,1,57,196,142,307,242,196,cookie1_tr.png,NA,1,Foil,Target,1,191,191,5.617,1,2.202,1,0.606,1,Sub045_ToD_Online,OA,Morning
cucumber1_tr.png,450,90,0.22860468,5.5992e-17,5.467,169,0.22846542,-0.007978188,Bckg92.jpg,82,87,2,1,1,1,30,82,286,332,303,82,cucumber1_tr.png,NA,1,Foil,Target,1,452,92,4.517,1,2.801,1,0.717,1,Sub045_ToD_Online,OA,Morning
dress1_tr.png,77,77,0.222745557,0.051424864,7.366,169,0.224404568,0.043619829,Bckg96.jpg,83,51,6,1,1,1,34,83,239,71,9,83,dress1_tr.png,NA,0,Target,Foil,1,79,79,4.95,1,3.022,1,1.334,1,Sub045_ToD_Online,OA,Morning
eggs1_tr.png,90,90,0.22860468,0,6.356,169,0.228291385,0.011964245,Bckg132.jpg,84,28,64,2,1,1,41,84,124,265,170,84,eggs1_tr.png,NA,1,Foil,Target,1,447,87,5.874,1,1.63,1,0.601,1,Sub045_ToD_Online,OA,Morning
fireextinguisher1_tr.png,300,300,-0.19797746,0.11430234,6.767,169,-0.219748922,0.06301199,Bckg88.jpg,294,85,52,2,1,1,56,294,212,94,215,294,fireextinguisher1_tr.png,NA,0,Target,Foil,1,286,286,6.434,1,3.417,1,0.602,1,Sub045_ToD_Online,OA,Morning
