obj1,locresp1,locresp1_adj,respposX1,respposY1,Learning_Loc_Test_rt,condnum,respposX2,respposY2,backgr,obj1loc,TrialID,StudyTrialNum,block,testObj1,testObj1Feat1,TestPracTrialNum,testObj1Feat1TargetVal,testObj1LocStartVal1,testObj1LocStartVal2,testObj1LocStartVal3,testObj1LocTargetVal,testObj1Target,testObj1Foil,testObj1FCOrder,testObj1FCleftItem,testObj1FCrightItem,OldImages,locresp2,locresp2_adj,Recall_Loc_Test_rt,Old_New_Test,Old_New_Test_rt,Remember_Test,Remember_Test_rt,Imm_Delay,SubID,AgeGroup,ToD_Condition
airfreshener1_tr.png,-4,356,-0.01672566,0.239188077,5.5985,14,[],[],Bckg42.jpg,2,91,60,2,1,1,49,2,156,345,88,2,airfreshener1_tr.png,NA,1,Foil,Target,1,345,345,1.5705,1,1.5805,1,0.9174,1,Sub070_ToD_Online,OA,Night
apple1_tr.png,481,121,0.205524847,-0.123491787,4.8285,14,0.183676123,-0.154122567,Bckg81.jpg,114,62,8,1,1,1,6,114,347,32,264,114,apple1_tr.png,NA,0,Target,Foil,1,130,130,4.285,1,2.9964,1,1.668,1,Sub070_ToD_Online,OA,Night
asparagus1_tr.png,258,258,-0.234532553,-0.049851433,3.5514,14,[],[],Bckg134.jpg,263,47,12,1,1,1,13,263,290,137,190,263,asparagus1_tr.png,NA,0,Target,Foil,1,137,137,3.0355,1,2.1296,2,2.0662,1,Sub070_ToD_Online,OA,Night
bagel1_tr.png,263,263,-0.237984925,-0.029220874,3.1181,14,0.127059881,-0.203338315,Bckg43.jpg,246,20,71,2,1,1,77,246,243,284,250,246,bagel1_tr.png,NA,0,Target,Foil,1,508,148,6.5098,1,1.5091,1,0.5847,1,Sub070_ToD_Online,OA,Night
bandaid1_tr.png,233,233,-0.191490553,-0.144298482,3.8599,14,-0.070102592,-0.229295247,Bckg45.jpg,246,107,24,1,1,1,20,246,143,243,11,246,bandaid1_tr.png,NA,1,Foil,Target,1,197,197,4.6344,1,1.5175,1,0.9017,1,Sub070_ToD_Online,OA,Night
bbqmachine1_tr.png,507,147,0.130589272,-0.201089845,6.4652,14,0.089820228,-0.222312866,Bckg48.jpg,172,40,52,2,1,1,64,172,331,332,338,172,bbqmachine1_tr.png,NA,0,Target,Foil,1,518,158,5.4146,1,1.6128,1,0.4884,1,Sub070_ToD_Online,OA,Night
bell1_tr.png,339,339,-0.085926654,0.223846586,4.3062,14,[],[],Bckg36.jpg,349,78,2,1,1,1,32,349,287,282,294,349,bell1_tr.png,NA,1,Foil,Target,1,282,282,1.5935,1,4.326,2,2.5832,1,Sub070_ToD_Online,OA,Night
binder1_tr.png,106,106,0.230483784,-0.066090161,5.7027,14,[],[],Bckg82.jpg,91,21,117,3,1,1,99,91,236,320,312,91,binder1_tr.png,NA,1,Foil,Target,1,320,320,1.0979,1,1.2294,2,0.8511,1,Sub070_ToD_Online,OA,Night
bottleofwine1_tr.png,147,147,0.130589272,-0.201089845,3.8185,14,[],[],Bckg29.jpg,126,71,4,1,1,1,27,126,55,131,270,126,bottleofwine1_tr.png,NA,1,Foil,Target,1,131,131,2.2677,1,1.7347,2,1.5851,1,Sub070_ToD_Online,OA,Night
bow1_tr.png,147,147,0.130589272,-0.201089845,5.0858,14,[],[],Bckg54.jpg,172,67,59,2,1,1,72,172,311,5,258,172,bow1_tr.png,NA,0,Target,Foil,1,5,5,1.779,1,1.3156,2,1.2849,1,Sub070_ToD_Online,OA,Night
bowls1_tr.png,440,80,0.236129472,0.041635997,4.543,14,[],[],Bckg103.jpg,76,79,115,3,1,1,106,76,238,207,139,76,bowls1_tr.png,NA,0,Target,Foil,1,207,207,0.5196,1,1.6146,2,0.7389,1,Sub070_ToD_Online,OA,Night
breakfast1_tr.png,294,294,-0.219042759,0.097524119,2.8209,14,[],[],Bckg89.jpg,300,3,16,1,1,1,7,300,348,149,173,300,breakfast1_tr.png,NA,0,Target,Foil,1,149,149,1.4809,1,1.8428,2,2.136,1,Sub070_ToD_Online,OA,Night
