obj1,locresp1,locresp1_adj,respposX1,respposY1,Learning_Loc_Test_rt,condnum,respposX2,respposY2,backgr,obj1loc,TrialID,StudyTrialNum,block,testObj1,testObj1Feat1,TestPracTrialNum,testObj1Feat1TargetVal,testObj1LocStartVal1,testObj1LocStartVal2,testObj1LocStartVal3,testObj1LocTargetVal,testObj1Target,testObj1Foil,testObj1FCOrder,testObj1FCleftItem,testObj1FCrightItem,OldImages,locresp2,locresp2_adj,Recall_Loc_Test_rt,Old_New_Test,Old_New_Test_rt,Remember_Test,Remember_Test_rt,Imm_Delay,SubID,AgeGroup,ToD_Condition
basket1_tr.png,108,108,0.20929411,-0.068003779,5.0159,185,[],[],Bckg24.jpg,110,8,43,2,1,1,70,110,14,332,96,110,basket1_tr.png,NA,1,Foil,Target,1,332,332,1.4015,1,5.3317,2,1.5167,1,Sub071_ToD_Online,OA,Night
bed1_tr.png,252,252,-0.20929411,-0.068003779,4.8029,185,-0.216021639,-0.041990353,Bckg77.jpg,245,120,83,3,1,1,113,245,138,143,160,245,bed1_tr.png,NA,1,Foil,Target,1,259,259,10.0489,1,2.1361,1,0.4832,1,Sub071_ToD_Online,OA,Night
bike1_tr.png,131,131,0.166085051,-0.144375532,4.4964,185,-0.216021639,-0.041990353,Bckg39.jpg,135,2,96,3,1,1,92,135,209,107,240,135,bike1_tr.png,NA,0,Target,Foil,1,259,259,13.2974,1,4.5593,1,0.4522,1,Sub071_ToD_Online,OA,Night
binder1_tr.png,448,88,0.219930792,0.007680153,7.813,185,0.22006485,5.39003E-17,Bckg82.jpg,91,21,59,2,1,1,44,91,236,320,312,91,binder1_tr.png,NA,1,Foil,Target,1,450,90,5.7319,1,2.4163,1,0.8921,1,Sub071_ToD_Online,OA,Night
bird1_tr.png,44,44,0.15286989,0.158301405,7.4278,185,0.132438333,0.175751604,Bckg2.jpg,39,72,105,3,1,1,84,39,118,137,33,39,bird1_tr.png,NA,1,Foil,Target,1,37,37,4.447,1,1.7734,1,0.589,1,Sub071_ToD_Online,OA,Night
bow1_tr.png,311,311,[],[],0.7162,185,0.003840661,-0.220031333,Bckg54.jpg,172,67,88,3,1,1,119,172,311,5,258,172,bow1_tr.png,NA,0,Target,Foil,1,179,179,5.5309,1,3.9509,1,0.4176,1,Sub071_ToD_Online,OA,Night
bowls1_tr.png,436,76,0.213527983,0.053238506,6.1808,185,0.210449063,0.064340735,Bckg103.jpg,76,79,42,2,1,1,60,76,238,207,139,76,bowls1_tr.png,NA,0,Target,Foil,1,73,73,7.9817,1,2.9156,1,0.5678,1,Sub071_ToD_Online,OA,Night
cabinet1_tr.png,351,351,-0.034425727,0.217355487,4.2324,185,-0.045754055,0.215255905,Bckg13.jpg,355,110,21,1,1,1,39,355,291,250,164,355,cabinet1_tr.png,NA,1,Foil,Target,1,348,348,6.2662,1,2.0002,1,1.8002,1,Sub071_ToD_Online,OA,Night
clock1_tr.png,128,128,[],[],1.7984,185,[],[],Bckg137.jpg,133,76,57,2,1,1,45,133,128,1,280,133,clock1_tr.png,NA,0,Target,Foil,1,1,1,2.6161,1,2.0004,2,0.7517,1,Sub071_ToD_Online,OA,Night
coat1_tr.png,455,95,0.219227437,-0.019179915,6.0178,185,0.214424602,-0.04950382,Bckg108.jpg,94,102,101,3,1,1,81,94,309,13,198,94,coat1_tr.png,NA,0,Target,Foil,1,103,103,5.8141,1,2.1738,1,0.5405,1,Sub071_ToD_Online,OA,Night
coffeemug1_tr.png,321,321,-0.138491297,0.171022509,5.9141,185,[],[],Bckg20.jpg,325,70,54,2,1,1,41,325,253,113,22,325,coffeemug1_tr.png,NA,1,Foil,Target,1,113,113,1.6498,1,2.8837,2,1.7329,1,Sub071_ToD_Online,OA,Night
cookie1_tr.png,200,200,-0.075266612,-0.206793316,4.0511,185,[],[],Bckg1.jpg,196,109,44,2,1,1,65,196,142,307,242,196,cookie1_tr.png,NA,1,Foil,Target,1,307,307,3.3493,1,4.0335,2,0.9,1,Sub071_ToD_Online,OA,Night
cow1_tr.png,350,350,-0.03821386,0.21672157,8.1025,185,-0.041990353,0.216021639,Bckg113.jpg,352,24,36,1,1,1,30,352,172,11,137,352,cow1_tr.png,NA,1,Foil,Target,1,-11,349,8.8644,1,3.3332,1,2.0179,1,Sub071_ToD_Online,OA,Night
crayon1_tr.png,270,270,-0.22006485,-2.69502E-17,5.7372,185,-0.218859312,-0.023003041,Bckg87.jpg,267,33,33,1,1,1,21,267,220,22,283,267,crayon1_tr.png,NA,1,Foil,Target,1,-96,264,6.4199,1,2.1636,1,2.1659,1,Sub071_ToD_Online,OA,Night
dress1_tr.png,447,87,0.219763259,0.011517304,5.9807,185,0.219763259,0.011517304,Bckg96.jpg,83,51,63,2,1,1,72,83,239,71,9,83,dress1_tr.png,NA,0,Target,Foil,1,87,87,8.5403,1,1.5164,1,0.6845,1,Sub071_ToD_Online,OA,Night
fantacan1_tr.png,150,150,0.110032425,-0.190581751,3.8152,185,0.15286989,-0.158301405,Bckg86.jpg,126,84,113,3,1,1,118,126,32,278,53,126,fantacan1_tr.png,NA,1,Foil,Target,1,496,136,7.5494,1,2.8309,1,1.8849,1,Sub071_ToD_Online,OA,Night
granola1_tr.png,190,190,-0.03821386,-0.21672157,6.6488,185,-0.075266612,-0.206793316,Bckg49.jpg,191,103,110,3,1,1,110,191,262,206,48,191,granola1_tr.png,NA,1,Foil,Target,1,200,200,6.2442,1,2.0304,1,0.4181,1,Sub071_ToD_Online,OA,Night
grater1_tr.png,225,225,-0.155609348,-0.155609348,3.9647,185,-0.180266572,-0.126224012,Bckg118.jpg,227,108,19,1,1,1,36,227,183,311,225,227,grater1_tr.png,NA,0,Target,Foil,1,595,235,7.645,1,2.4632,1,1.9825,1,Sub071_ToD_Online,OA,Night
hat1_tr.png,229,229,-0.166085051,-0.144375532,3.2354,185,-0.197792977,-0.096470081,Bckg133.jpg,235,68,94,3,1,1,103,235,251,330,13,235,hat1_tr.png,NA,1,Foil,Target,1,244,244,4.7142,1,1.5504,1,0.5389,1,Sub071_ToD_Online,OA,Night
jackolantern1_tr.png,411,51,0.171022509,0.138491297,6.4161,185,0.163540055,0.147252127,Bckg21.jpg,51,93,7,1,1,1,31,51,161,66,118,51,jackolantern1_tr.png,NA,1,Foil,Target,1,48,48,8.4478,1,2.8666,1,1.3647,1,Sub071_ToD_Online,OA,Night
lemon1_tr.png,373,13,0.04950382,0.214424602,5.3294,185,[],[],Bckg99.jpg,20,66,12,1,1,1,26,20,265,285,180,20,lemon1_tr.png,NA,0,Target,Foil,1,285,285,2.4936,1,3.7552,2,1.5007,1,Sub071_ToD_Online,OA,Night
mouthwash1_tr.png,347,347,-0.04950382,0.214424602,6.8309,185,-0.030627108,0.217923194,Bckg109.jpg,352,100,45,2,1,1,48,352,115,250,226,352,mouthwash1_tr.png,NA,0,Target,Foil,1,352,352,4.9321,1,1.9337,1,0.6675,1,Sub071_ToD_Online,OA,Night
partyhats1_tr.png,57,57,0.184561913,0.119855908,4.9979,185,0.166085051,0.144375532,Bckg110.jpg,52,18,72,2,1,1,62,52,175,231,196,52,partyhats1_tr.png,NA,0,Target,Foil,1,409,49,11.8804,1,3.6662,1,0.9177,1,Sub071_ToD_Online,OA,Night
pizza1_tr.png,399,39,0.138491297,0.171022509,8.0446,185,0.064340735,0.210449063,Bckg83.jpg,31,80,70,2,1,1,68,31,153,237,175,31,pizza1_tr.png,NA,1,Foil,Target,1,377,17,5.8661,1,3.2333,1,0.6339,1,Sub071_ToD_Online,OA,Night
plant1_tr.png,223,223,-0.150083867,-0.160945243,3.2129,185,[],[],Bckg116.jpg,229,75,62,2,1,1,57,229,191,233,122,229,plant1_tr.png,NA,0,Target,Foil,1,233,233,4.542,1,2.2673,1,1.3002,1,Sub071_ToD_Online,OA,Night
pokerchips1_tr.png,15,15,0.056956974,0.212566322,5.8803,185,0.064340735,0.210449063,Bckg127.jpg,11,88,74,2,1,1,64,11,51,229,63,11,pokerchips1_tr.png,NA,0,Target,Foil,1,377,17,9.5303,1,3.2345,1,2.0443,1,Sub071_ToD_Online,OA,Night
potatochips1_tr.png,378,18,0.068003779,0.20929411,6.6205,185,0.068003779,0.20929411,Bckg124.jpg,13,81,90,3,1,1,106,13,164,112,355,13,potatochips1_tr.png,NA,0,Target,Foil,1,378,18,7.1961,1,8.0619,1,0.804,1,Sub071_ToD_Online,OA,Night
ricecooker1_tr.png,28,28,0.103314189,0.19430573,6.2629,185,[],[],Bckg102.jpg,14,19,35,1,1,1,33,14,178,267,92,14,ricecooker1_tr.png,NA,0,Target,Foil,1,267,267,2.8529,1,1.9148,2,1.9332,1,Sub071_ToD_Online,OA,Night
rollingpin1_tr.png,226,226,-0.158301405,-0.15286989,8.3805,185,-0.15286989,-0.158301405,Bckg69.jpg,228,89,51,2,1,1,75,228,12,120,126,228,rollingpin1_tr.png,NA,0,Target,Foil,1,224,224,6.8493,1,2.3336,1,0.8674,1,Sub071_ToD_Online,OA,Night
sink1_tr.png,173,173,0.026819159,-0.21842452,6.1477,185,-0.003840661,-0.220031333,Bckg32.jpg,178,112,75,2,1,1,54,178,267,137,336,178,sink1_tr.png,NA,0,Target,Foil,1,181,181,5.7408,1,2.4168,1,0.6582,1,Sub071_ToD_Online,OA,Night
spoon1_tr.png,525,165,0.056956974,-0.212566322,6.585,185,0.071646107,-0.208075404,Bckg67.jpg,161,10,41,2,1,1,53,161,301,195,183,161,spoon1_tr.png,NA,0,Target,Foil,1,161,161,7.6815,1,1.7324,1,0.5685,1,Sub071_ToD_Online,OA,Night
starfish1_tr.png,69,69,0.205448237,0.078864189,5.7221,185,0.214424602,0.04950382,Bckg106.jpg,77,54,95,3,1,1,99,77,197,61,78,77,starfish1_tr.png,NA,1,Foil,Target,1,77,77,6.829,1,3.0621,1,0.5357,1,Sub071_ToD_Online,OA,Night
